Dur	DstPkts	SrcBytes	DstBytes	Rate	sTtl	dTtl	SrcLoad	DstLoad	sMeanPktSz	dMeanPktSz	ct_src_sport_ltm	ct_dst_src_ltm	ct_src_dport_ltm	ct_dst_ltm	ct_state_ttl
0.000926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1	1	1	1	0
0.000000	8.0	9672.0	416.0	0.0	29.0	31.0	0.0	0.0	879.272705	52.0	1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	12.0	528.0	8824.0	0.0	31.0	29.0	0.0	0.0	52.799999	735.333313	1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	42.0	37914.0	3380.0	0.0	31.0	29.0	0.0	0.0	702.111084	80.476189	1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	8.0	690.0	1272.0	0.0	31.0	29.0	0.0	0.0	172.5	159.0	1	1	1	2	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	2	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	3	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	3	0
0.000000	12.0	424.0	8824.0	0.0	31.0	29.0	0.0	0.0	53.0	735.333313	1	2	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	3	0
211412480*	0.0	0.0	0.0	0.0	0.0						1	1	3	24	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	4	0
0.000000	146.0	2.0	2.0	0.0	0.0	0.0	0.011236	0.013699			1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	4	0
160769638*	0.0	0.0	0.0	0.0	0.0						1	3	2	17	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	3	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	2	1	4	0
0.000000	18.0	3936.0	2456.0	0.0	31.0	29.0	0.0	0.0	218.666672	136.444443	1	3	1	5	0
0.000000	36.0	2230.0	13500.0	0.0	31.0	29.0	0.0	0.0	65.588234	375.0	1	1	1	1	0
0.000000	86.0	4862.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.880951	879.069763	1	1	1	1	0
0.000000	24.0	1958.0	2308.0	0.0	31.0	29.0	0.0	0.0	89.0	96.166664	1	1	1	6	0
0.000000	31.0	29.0	0.0	0.0	637.714294	53.0					1	1	1	1	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	1	4	0
0.000000	18.0	1580.0	10168.0	0.0	31.0	29.0	0.0	0.0	131.666672	564.888916	1	2	1	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	4	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	2	1	0
0.000000	6.0	1006.0	268.0	0.0	254.0	252.0	0.0	0.0	100.599998	44.666668	1	1	1	1	1
0.000000	4.0	568.0	304.0	0.0	31.0	29.0	0.0	0.0	142.0	76.0	1	1	1	3	0
0.000000	0.0	31.0	29.0	0.0	0.0	0.0	0.0				1	2	1	4	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	5	0
0.000000	36.0	2230.0	13500.0	0.0	31.0	29.0	0.0	0.0	65.588234	375.0	1	1	1	7	0
0.000000	86.0	4862.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.880951	879.069763	1	1	1	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	1.0	0.0	0.0	64.0	0.0				1	1	1	1	0
0.000000	0.0	0.0	1.0	0.0	0.0	64.0	0.0				2	1	1	2	0
0.000000	4.0	568.0	304.0	0.0	31.0	29.0	0.0	0.0	142.0	76.0	1	3	1	4	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	4	1	5	0
0.000000	28.0	4456.0	2976.0	0.0	31.0	29.0	0.0	0.0	159.142853	106.285713	1	5	1	6	0
0.000000	0.0	0.0	0.0	0.0	31.0	29.0	0.0	0.0	0.0	0.0	1	1	1	8	0
