N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 62"

Sample,"Volt avg 1","Curr avg 1"
2,18.9999,0.505426
3,18.9999,0.507581
4,18.9999,0.454566
5,18.9998,0.362761
6,18.9998,0.362492
7,18.9997,0.363571
8,18.9998,0.362376
9,18.9998,0.412821
10,18.9999,0.594939
11,18.9999,0.553027
12,18.9999,0.552742
13,18.9999,0.559942
14,18.9999,0.569784
15,18.9998,0.552855
16,18.9999,0.552222
17,18.9999,0.553816
18,18.9998,0.552171
19,18.9998,0.539535
20,18.9999,0.515268
21,18.9999,0.51523
22,18.9999,0.516909
23,18.9999,0.51563
24,18.9999,0.549214
25,18.9999,0.596585
26,18.9999,0.596316
27,18.9999,0.600361
28,18.9999,0.595695
29,18.9999,0.516661
30,18.9999,0.515556
31,18.9999,0.516438
32,18.9999,0.517274
33,18.9999,0.572031
34,18.9999,0.554082
35,18.9999,0.552188
36,18.9999,0.551925
37,18.9999,0.554611
38,18.9999,0.547629
39,18.9998,0.515455
40,18.9999,0.515299
41,18.9999,0.515466
42,18.9999,0.517068
43,18.9999,0.515386
44,18.9999,0.515817
45,18.9998,0.515669
46,18.9998,0.515328
47,18.9999,0.517553
48,18.9999,0.520247
49,18.9999,0.602828
50,18.9999,0.59541
51,18.9999,0.600806
52,18.9999,0.609501
53,18.9998,0.540632
54,18.9998,0.515916
55,18.9998,0.515583
56,18.9998,0.515209
57,18.9998,0.512523
58,18.9998,0.534631
59,18.9998,0.515921
60,18.9999,0.51582
61,18.9998,0.515462
62,19,0.517188
63,18.9999,0.515978
64,18.9999,0.51583
65,18.9999,0.515777
66,18.9999,0.515262
67,18.9999,0.517371
68,18.9999,0.515754
69,18.9999,0.515556
70,18.9999,0.515263
71,18.9999,0.51525
72,18.9999,0.516758
73,18.9999,0.57481
74,18.9999,0.5955
75,18.9999,0.600524
76,18.9999,0.594568
77,18.9999,0.563208
78,18.9999,0.516026
79,18.9998,0.51729
80,18.9998,0.515382
81,18.9999,0.515269
82,18.9999,0.541497
83,18.9999,0.56899
84,18.9999,0.555255
85,18.9999,0.552107
86,18.9999,0.551794
87,18.9999,0.554755
88,18.9999,0.55133
89,18.9999,0.515736
90,18.9999,0.515307
91,18.9998,0.515193
92,18.9999,0.51716
93,18.9998,0.51576
94,18.9998,0.51574
95,18.9999,0.515652
96,18.9999,0.515431
97,18.9999,0.550884
98,18.9999,0.59613
99,18.9999,0.5998
100,18.9999,0.599012
101,18.9999,0.608773
102,18.9999,0.518668
103,18.9998,0.51595
104,18.9998,0.515807
105,18.9999,0.515754
106,18.9998,0.51554
107,18.9999,0.51773
108,18.9998,0.516223
109,18.9999,0.516234
110,18.9998,0.515711
111,18.9999,0.515677
112,18.9999,0.517103
113,18.9998,0.516195
114,18.9998,0.516038
115,18.9998,0.516029
116,18.9998,0.515817
117,18.9998,0.518122
118,18.9998,0.521006
119,18.9999,0.515584
120,18.9999,0.515359
121,18.9999,0.515775
122,18.9999,0.59902
123,18.9999,0.595329
124,18.9999,0.60063
125,18.9999,0.594877
126,18.9999,0.545418
127,18.9999,0.518464
128,18.9999,0.515756
129,18.9998,0.515936
130,18.9998,0.515451
131,18.9998,0.516411
132,18.9999,0.517167
133,18.9999,0.570809
134,18.9999,0.554456
135,18.9998,0.552265
136,18.9998,0.552003
137,18.9999,0.55504
138,18.9998,0.543357
139,18.9998,0.515854
140,18.9999,0.515625
141,18.9999,0.515675
142,18.9998,0.517742
143,18.9998,0.515769
144,18.9999,0.515912
145,18.9998,0.515597
146,18.9999,0.572037
147,18.9999,0.596275
148,18.9999,0.604582
149,18.9999,0.594377
150,18.9999,0.568948
151,18.9999,0.515483
152,18.9999,0.523204
153,18.9999,0.51625
154,18.9999,0.516199
155,18.9999,0.516188
156,18.9999,0.515891
157,18.9999,0.51823
158,18.9999,0.515792
159,18.9999,0.517039
160,18.9999,0.516027
161,18.9999,0.515942
162,18.9999,0.517746
163,18.9999,0.516054
164,18.9999,0.515895
165,18.9999,0.515917
166,18.9999,0.515626
167,18.9999,0.518063
168,18.9999,0.516121
169,18.9998,0.515905
170,18.9999,0.54214
171,18.9999,0.596701
172,18.9999,0.598173
173,18.9999,0.597266
174,18.9999,0.594107
175,18.9999,0.509006
176,18.9999,0.516231
177,18.9999,0.516648
178,18.9999,0.534152
179,18.9999,0.517443
180,18.9999,0.515736
181,18.9998,0.515641
182,18.9998,0.538649
183,18.9999,0.571432
184,18.9998,0.554132
185,18.9999,0.55244
186,18.9998,0.552399
187,18.9998,0.552984
188,18.9999,0.541884
189,18.9998,0.515523
190,18.9998,0.515586
191,18.9998,0.515594
192,18.9998,0.515471
193,18.9998,0.517922
194,18.9998,0.515921
195,18.9999,0.599702
196,18.9998,0.592324
197,18.9999,0.603534
198,18.9999,0.596806
199,18.9998,0.528234
200,18.9998,0.516348
201,18.9998,0.515787
202,18.9999,0.516203
203,18.9998,0.522041
204,18.9998,0.515696
205,18.9998,0.516013
206,18.9998,0.515702
207,18.9998,0.516517
208,18.9998,0.521269
209,18.9998,0.515901
210,18.9998,0.516201
211,18.9998,0.515865
212,18.9998,0.516115
213,18.9998,0.517818
214,18.9998,0.515879
215,18.9998,0.515872
216,18.9998,0.515594
217,18.9998,0.516367
218,18.9998,0.517691
