N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 210"

Sample,"Volt avg 1","Curr avg 1"
0,18.9996,0.400964
1,18.9997,0.475019
2,18.9996,0.4688
3,18.9996,0.442519
4,18.9996,0.418446
5,18.9996,0.419085
6,18.9996,0.422928
7,18.9996,0.385542
8,18.9996,0.56607
9,18.9997,0.594817
10,18.9997,0.57549
11,18.9997,0.556726
12,18.9997,0.549464
13,18.9997,0.562179
14,18.9997,0.561836
15,18.9997,0.560926
16,18.9997,0.56443
17,18.9997,0.555623
18,18.9996,0.486242
19,18.9997,0.469664
20,18.9998,0.616088
21,18.9998,0.672205
22,18.9998,0.633164
23,18.9998,0.63161
24,18.9998,0.638124
25,18.9998,0.552415
26,18.9998,0.566996
27,18.9997,0.567033
28,18.9997,0.554754
29,18.9997,0.541492
30,18.9997,0.542079
31,18.9997,0.53507
32,18.9997,0.539165
33,18.9997,0.551995
34,18.9997,0.545686
35,18.9997,0.553167
36,18.9997,0.55858
37,18.9997,0.575194
38,18.9998,0.634876
39,18.9998,0.696314
40,18.9999,0.752199
41,18.9999,0.758717
42,18.9999,0.754489
43,18.9998,0.755652
44,18.9997,0.554872
45,18.9997,0.556367
46,18.9997,0.535785
47,18.9997,0.493977
48,18.9997,0.530894
49,18.9997,0.529264
50,18.9997,0.497117
51,18.9997,0.493338
52,18.9996,0.472168
53,18.9998,0.718553
54,18.9998,0.795715
55,18.9999,0.797625
56,18.9998,0.796089
57,18.9999,0.811676
58,18.9998,0.78045
59,18.9998,0.759611
60,18.9998,0.748138
61,18.9998,0.74918
62,18.9998,0.751775
63,18.9999,0.753342
64,18.9999,0.752616
65,18.9999,0.75275
66,18.9998,0.756257
67,18.9998,0.743984
68,18.9999,0.749483
69,18.9999,0.750805
70,18.9999,0.814529
71,18.9999,0.849422
72,18.9999,0.855689
73,18.9999,0.834274
74,18.9999,0.795393
75,18.9999,0.777914
76,18.9999,0.77526
77,18.9998,0.776189
78,18.9998,0.775296
79,18.9999,0.768397
80,18.9998,0.783535
81,18.9998,0.784061
82,18.9998,0.782873
83,18.9998,0.784517
84,18.9998,0.783257
85,18.9998,0.784126
86,18.9998,0.784585
87,18.9998,0.759109
88,18.9998,0.752984
89,18.9998,0.753569
90,18.9998,0.752508
91,18.9998,0.744902
92,18.9998,0.752958
93,18.9998,0.753591
94,18.9998,0.800891
95,18.9998,0.859202
96,18.9999,0.849184
97,18.9998,0.843857
98,18.9998,0.805696
99,18.9998,0.754939
100,18.9998,0.771354
101,18.9998,0.784222
102,18.9998,0.74869
103,18.9998,0.744725
104,18.9998,0.742251
105,18.9998,0.745778
106,18.9998,0.745138
107,18.9998,0.749913
108,18.9998,0.746678
109,18.9998,0.75013
110,18.9999,0.752768
111,18.9998,0.761542
112,18.9998,0.752287
113,18.9998,0.753431
114,18.9998,0.748452
115,18.9998,0.773094
116,18.9999,0.761049
117,18.9998,0.753556
118,18.9998,0.780643
119,18.9998,0.721661
120,18.9998,0.668736
121,18.9997,0.653298
122,18.9998,0.64531
123,18.9997,0.580563
124,18.9997,0.568742
125,18.9997,0.569331
126,18.9997,0.573759
127,18.9998,0.714178
128,18.9998,0.731354
129,18.9999,0.784405
130,18.9998,0.763959
131,18.9999,0.775583
132,18.9999,0.764286
133,18.9999,0.784419
134,18.9999,0.784737
135,18.9999,0.78598
136,18.9999,0.785178
137,18.9999,0.768627
138,18.9999,0.780474
139,18.9999,0.764946
140,18.9999,0.745368
141,18.9999,0.748654
142,18.9999,0.745759
143,19,0.846442
144,19,0.853832
145,18.9999,0.851382
146,18.9999,0.838831
147,18.9998,0.775895
148,18.9998,0.754501
149,18.9998,0.759182
150,18.9998,0.756825
151,18.9998,0.758052
152,18.9999,0.757261
153,18.9998,0.755413
154,18.9998,0.69626
155,18.9998,0.706667
156,18.9999,0.753216
157,18.9999,0.746242
158,18.9999,0.75536
159,18.9998,0.778811
160,18.9999,0.756784
161,18.9998,0.768937
162,18.9999,0.778725
163,18.9998,0.69974
164,18.9999,0.731639
165,18.9998,0.726783
166,18.9999,0.775542
167,18.9999,0.845672
168,18.9999,0.866527
169,19,0.873592
170,19,0.871257
171,18.9999,0.813142
172,18.9999,0.787303
173,18.9999,0.786417
174,18.9999,0.770659
175,18.9999,0.779331
176,18.9999,0.766043
177,18.9998,0.752658
178,18.9999,0.755754
179,18.9998,0.759411
180,18.9998,0.764895
181,18.9999,0.749938
182,18.9998,0.74988
183,18.9998,0.755226
184,18.9998,0.758499
185,18.9998,0.753891
186,18.9999,0.78292
187,18.9999,0.778681
188,18.9999,0.752329
189,18.9999,0.755993
190,18.9999,0.767557
191,18.9999,0.818098
192,18.9999,0.873108
193,19,0.867179
194,18.9999,0.842492
195,18.9999,0.788437
196,18.9998,0.769362
197,18.9999,0.757428
198,18.9999,0.77755
199,18.9999,0.749319
200,18.9999,0.795379
201,18.9999,0.809328
202,18.9999,0.78652
203,18.9999,0.78542
204,18.9999,0.785382
205,18.9999,0.786109
206,18.9999,0.786347
207,18.9999,0.785549
208,18.9999,0.785297
209,19,0.785634
210,18.9999,0.788329
211,18.9999,0.787592
212,18.9999,0.785184
213,18.9999,0.786007
214,18.9999,0.786758
215,18.9999,0.834081
216,19,0.88331
217,19,0.878136
218,19,0.87229
219,18.9999,0.825329
220,18.9999,0.7855
221,18.9999,0.787193
222,18.9999,0.786029
223,18.9999,0.785591
224,18.9999,0.785
225,18.9999,0.786058
226,18.9999,0.785627
227,18.9999,0.785246
228,18.9999,0.787331
229,18.9999,0.786088
230,18.9999,0.785373
231,18.9999,0.786333
232,18.9999,0.785586
233,18.9999,0.78696
234,18.9999,0.791514
235,18.9999,0.785268
236,18.9999,0.786636
237,18.9998,0.786386
238,18.9999,0.785897
239,18.9999,0.828503
240,18.9999,0.878545
241,18.9999,0.879804
242,18.9999,0.872646
243,18.9999,0.831544
244,18.9999,0.786632
245,18.9999,0.786314
246,18.9999,0.790807
247,18.9999,0.784049
248,18.9999,0.78602
249,18.9999,0.785663
250,18.9999,0.785727
251,18.9999,0.80422
252,18.9999,0.786091
253,18.9999,0.785524
254,18.9999,0.785548
255,18.9999,0.786083
256,18.9999,0.785588
257,18.9999,0.784966
258,18.9999,0.786051
259,18.9999,0.786043
260,18.9999,0.785599
261,18.9999,0.785664
262,18.9999,0.785943
263,18.9999,0.822982
264,18.9999,0.877782
265,18.9999,0.876673
266,18.9999,0.876736
267,18.9999,0.843147
268,18.9999,0.787213
269,18.9999,0.784948
270,18.9999,0.786659
271,18.9999,0.786505
272,18.9999,0.785738
273,18.9999,0.786253
274,18.9999,0.785825
275,18.9999,0.784389
276,18.9999,0.790751
277,18.9999,0.786756
278,18.9999,0.785578
279,18.9999,0.785465
280,18.9999,0.785307
281,18.9999,0.787423
282,18.9998,0.785812
283,18.9999,0.785931
284,18.9999,0.785544
285,18.9999,0.786337
286,18.9999,0.786299
287,18.9999,0.813176
288,18.9999,0.872412
289,18.9999,0.877988
290,18.9999,0.88206
291,18.9999,0.851982
292,18.9999,0.786026
293,18.9999,0.787216
294,18.9999,0.785905
295,18.9999,0.78582
296,18.9998,0.786207
297,18.9999,0.786928
298,18.9999,0.785863
299,18.9998,0.785911
300,18.9998,0.723099
301,18.9998,0.644615
302,18.9997,0.5569
303,18.9997,0.521447
304,18.9996,0.477317
305,18.9997,0.475043
306,18.9997,0.477039
307,18.9997,0.476359
308,18.9997,0.474754
309,18.9997,0.474685
310,18.9997,0.528817
311,18.9998,0.595947
312,18.9998,0.710624
313,18.9998,0.681417
314,18.9998,0.678508
315,18.9998,0.666804
316,18.9998,0.61669
317,18.9998,0.645222
318,18.9998,0.629869
319,18.9998,0.616104
320,18.9998,0.616769
321,18.9998,0.628385
322,18.9998,0.632295
323,18.9998,0.623919
324,18.9998,0.626538
325,18.9998,0.622512
326,18.9998,0.609715
327,18.9998,0.608641
328,18.9997,0.604876
329,18.9997,0.609832
330,18.9997,0.59978
331,18.9997,0.601691
332,18.9997,0.600452
333,18.9997,0.599237
334,18.9998,0.601088
335,18.9997,0.617445
336,18.9998,0.681294
337,18.9998,0.676209
338,18.9998,0.678326
339,18.9998,0.673392
340,18.9998,0.643861
341,18.9997,0.597517
342,18.9998,0.600886
343,18.9997,0.598047
344,18.9997,0.592471
345,18.9997,0.593151
346,18.9997,0.597367
347,18.9997,0.59969
348,18.9997,0.599247
349,18.9997,0.594363
350,18.9997,0.59403
351,18.9998,0.62003
352,18.9997,0.593522
353,18.9997,0.591273
354,18.9997,0.588442
355,18.9997,0.586942
356,18.9998,0.581763
357,18.9997,0.58472
358,18.9998,0.581633
359,18.9997,0.582695
360,18.9997,0.615789
361,18.9998,0.66586
362,18.9998,0.665277
363,18.9998,0.661107
364,18.9998,0.65324
365,18.9997,0.598373
366,18.9997,0.583896
367,18.9997,0.579114
368,18.9997,0.574621
369,18.9997,0.575906
370,18.9997,0.57659
371,18.9997,0.574318
372,18.9997,0.577364
373,18.9998,0.574649
374,18.9997,0.574176
375,18.9997,0.578116
376,18.9997,0.575076
377,18.9997,0.575184
378,18.9997,0.574823
379,18.9997,0.574038
380,18.9997,0.579715
381,18.9997,0.579303
382,18.9997,0.580974
383,18.9997,0.575563
384,18.9997,0.575598
385,18.9998,0.636562
386,18.9997,0.658123
387,18.9997,0.6643
388,18.9997,0.656704
389,18.9997,0.647793
390,18.9996,0.575562
391,18.9996,0.574963
392,18.9996,0.577266
393,18.9996,0.574933
394,18.9996,0.575844
395,18.9997,0.575272
396,18.9996,0.579395
397,18.9997,0.578267
398,18.9996,0.575894
399,18.9996,0.573609
400,18.9997,0.595483
401,18.9997,0.603233
402,18.9997,0.575393
403,18.9996,0.574595
404,18.9996,0.572464
405,18.9996,0.574638
406,18.9997,0.575109
407,18.9996,0.576521
408,18.9996,0.574162
409,18.9996,0.582339
410,18.9997,0.661974
411,18.9996,0.653624
412,18.9997,0.661397
413,18.9997,0.651565
414,18.9996,0.612475
415,18.9996,0.575075
416,18.9997,0.575654
417,18.9997,0.576449
418,18.9997,0.573974
419,18.9997,0.574371
420,18.9997,0.575609
421,18.9997,0.574412
422,18.9997,0.576905
423,18.9997,0.572784
424,18.9997,0.592149
425,18.9997,0.575477
426,18.9997,0.580591
427,18.9997,0.576737
428,18.9997,0.57339
429,18.9997,0.57032
430,18.9997,0.575248
431,18.9996,0.574825
432,18.9996,0.575247
433,18.9996,0.573896
434,18.9996,0.616623
435,18.9997,0.653956
436,18.9997,0.657155
437,18.9997,0.664426
438,18.9997,0.659459
439,18.9997,0.592763
440,18.9997,0.576239
441,18.9997,0.575577
442,18.9997,0.576599
443,18.9997,0.575603
444,18.9997,0.574292
445,18.9997,0.574948
446,18.9997,0.574178
447,18.9996,0.57454
448,18.9997,0.576458
449,18.9997,0.574258
450,18.9997,0.57486
451,18.9998,0.596561
452,18.9997,0.57571
453,18.9997,0.573156
454,18.9997,0.574746
455,18.9997,0.573078
456,18.9997,0.578099
457,18.9997,0.573569
458,18.9997,0.574913
459,18.9997,0.647249
460,18.9997,0.658468
461,18.9998,0.662516
462,18.9997,0.653685
463,18.9997,0.638931
464,18.9996,0.574763
465,18.9996,0.574687
466,18.9996,0.574484
467,18.9997,0.577758
468,18.9996,0.574035
469,18.9996,0.574773
470,18.9996,0.573588
471,18.9997,0.574453
472,18.9997,0.576531
473,18.9997,0.574574
474,18.9997,0.574646
475,18.9997,0.573171
476,18.9997,0.574444
477,18.9997,0.576956
478,18.9996,0.571973
479,18.9997,0.577496
480,18.9997,0.573674
481,18.9997,0.57301
482,18.9997,0.575985
483,18.9997,0.588965
484,18.9997,0.655227
485,18.9997,0.652982
486,18.9998,0.668056
487,18.9998,0.657982
488,18.9997,0.602
489,18.9997,0.573527
490,18.9997,0.576038
491,18.9997,0.574617
492,18.9997,0.576109
493,18.9997,0.574525
494,18.9996,0.571634
495,18.9997,0.574036
496,18.9996,0.573346
497,18.9996,0.574843
498,18.9996,0.572675
499,18.9997,0.573077
500,18.9997,0.592561
501,18.9997,0.607256
502,18.9996,0.574948
503,18.9997,0.574008
504,18.9997,0.57361
505,18.9997,0.574186
506,18.9997,0.574191
507,18.9996,0.57482
508,18.9997,0.63069
509,18.9997,0.652308
510,18.9997,0.657349
511,18.9997,0.657595
512,18.9997,0.650306
513,18.9997,0.581437
514,18.9997,0.5734
515,18.9996,0.573606
516,18.9997,0.585201
517,18.9997,0.5742
518,18.9997,0.574137
519,18.9997,0.572684
520,18.9997,0.574067
521,18.9997,0.574479
522,18.9997,0.57364
523,18.9997,0.575594
524,18.9997,0.574006
525,18.9997,0.574052
526,18.9997,0.573343
527,18.9996,0.572102
528,18.9996,0.574112
529,18.9997,0.574131
530,18.9997,0.574571
531,18.9997,0.574317
532,18.9997,0.574196
533,18.9997,0.651835
534,18.9998,0.650873
535,18.9998,0.661718
536,18.9998,0.65841
537,18.9998,0.647171
538,18.9997,0.576303
539,18.9997,0.574791
540,18.9997,0.57363
541,18.9997,0.575681
542,18.9997,0.572093
543,18.9997,0.576261
544,18.9998,0.573148
545,18.9998,0.573927
546,18.9997,0.579148
