N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 7"

Sample,"Volt avg 1","Curr avg 1"
2,18.9994,0.41964
3,18.9994,0.415649
4,18.9995,0.415378
5,18.9994,0.415361
6,18.9994,0.413192
7,18.9994,0.4368
8,18.9994,0.419308
9,18.9994,0.415726
10,18.9994,0.425643
11,18.9994,0.417245
12,18.9994,0.416616
13,18.9994,0.436196
14,18.9994,0.514116
15,18.9995,0.540562
16,18.9995,0.556981
17,18.9995,0.548376
18,18.9994,0.461412
19,18.9994,0.435509
20,18.9994,0.441178
21,18.9994,0.419392
22,18.9995,0.486537
23,18.9996,0.601201
24,18.9995,0.559789
25,18.9995,0.560254
26,18.9995,0.572827
27,18.9995,0.586758
28,18.9995,0.55358
29,18.9995,0.581811
30,18.9996,0.571934
31,18.9995,0.549686
32,18.9995,0.549067
33,18.9996,0.586901
34,18.9995,0.553867
35,18.9996,0.584
36,18.9995,0.556859
37,18.9996,0.559793
38,18.9996,0.64028
39,18.9996,0.657943
40,18.9996,0.63054
41,18.9996,0.659689
42,18.9996,0.608703
43,18.9996,0.631447
44,18.9996,0.566701
45,18.9995,0.586233
46,18.9996,0.555877
47,18.9996,0.573711
48,18.9996,0.566343
49,18.9995,0.565785
50,18.9996,0.567823
51,18.9995,0.566195
52,18.9996,0.553101
53,18.9996,0.582789
54,18.9996,0.567505
55,18.9995,0.569265
56,18.9996,0.567086
57,18.9996,0.573357
58,18.9995,0.440287
59,18.9995,0.424003
60,18.9995,0.415968
61,18.9994,0.415711
62,18.9995,0.467042
63,18.9995,0.541675
64,18.9995,0.530802
65,18.9995,0.562115
66,18.9996,0.512798
67,18.9995,0.417023
68,18.9995,0.415808
69,18.9995,0.415734
70,18.9995,0.387334
71,18.9995,0.492722
72,18.9995,0.459596
73,18.9995,0.417087
74,18.9995,0.43788
75,18.9995,0.42752
76,18.9994,0.431297
77,18.9995,0.431152
78,18.9995,0.415734
79,18.9995,0.415661
80,18.9995,0.41556
81,18.9994,0.416146
82,18.9994,0.392957
83,18.9995,0.457389
84,18.9995,0.41599
85,18.9995,0.415838
86,18.9995,0.446548
87,18.9996,0.550334
88,18.9995,0.530653
89,18.9996,0.565798
90,18.9996,0.538026
91,18.9995,0.417208
92,18.9995,0.417125
93,18.9995,0.415763
94,18.9995,0.388949
95,18.9996,0.45629
96,18.9995,0.41585
97,18.9995,0.421347
98,18.9995,0.415632
99,18.9995,0.415561
100,18.9995,0.386657
101,18.9996,0.457182
