N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 11"

Sample,"Volt avg 1","Curr avg 1"
1,18.9994,0.414201
2,18.9993,0.414082
3,18.9993,0.421485
4,18.9993,0.398991
5,18.9993,0.454619
6,18.9993,0.444285
7,18.9994,0.414468
8,18.9993,0.415502
9,18.9993,0.414414
10,18.9993,0.40089
11,18.9993,0.45198
12,18.9994,0.572463
13,18.9994,0.600849
14,18.9995,0.623306
15,18.9995,0.631277
16,18.9994,0.674555
17,18.9994,0.633581
18,18.9994,0.605443
19,18.9994,0.59338
20,18.9995,0.592387
21,18.9994,0.591288
22,18.9994,0.589307
23,18.9995,0.573598
24,18.9994,0.59653
25,18.9994,0.592861
26,18.9994,0.592139
27,18.9994,0.592753
28,18.9994,0.594783
29,18.9994,0.618362
30,18.9994,0.61372
31,18.9994,0.59429
32,18.9994,0.592295
33,18.9995,0.592897
34,18.9995,0.592261
35,18.9994,0.581124
36,18.9994,0.600284
37,18.9994,0.644431
38,18.9994,0.673165
39,18.9995,0.677363
40,18.9995,0.675124
41,18.9995,0.641649
42,18.9995,0.599166
43,18.9994,0.594569
44,18.9994,0.595798
45,18.9995,0.592449
46,18.9995,0.592112
47,18.9995,0.579621
48,18.9995,0.597985
49,18.9995,0.597301
50,18.9995,0.592195
51,18.9995,0.592257
52,18.9995,0.591873
53,18.9995,0.580053
54,18.9995,0.599671
55,18.9994,0.594475
56,18.9994,0.592463
57,18.9995,0.592939
58,18.9994,0.592487
59,18.9994,0.58496
60,18.9994,0.597377
61,18.9994,0.618511
62,18.9995,0.671735
63,18.9995,0.673018
64,18.9995,0.681349
65,18.9995,0.663574
66,18.9994,0.597465
67,18.9994,0.595111
68,18.9994,0.592286
69,18.9994,0.597952
70,18.9995,0.594837
71,18.9994,0.580982
72,18.9995,0.595697
73,18.9995,0.594389
74,18.9994,0.595747
75,18.9994,0.592677
76,18.9995,0.588504
77,18.9994,0.579933
78,18.9994,0.621945
79,18.9994,0.638243
80,18.9995,0.608055
81,18.9994,0.594349
82,18.9995,0.609154
83,18.9994,0.596522
84,18.9994,0.605383
85,18.9994,0.593183
86,18.9994,0.678977
87,18.9995,0.672379
88,18.9995,0.681947
89,18.9994,0.654693
90,18.9994,0.603667
91,18.9994,0.596019
92,18.9994,0.592042
93,18.9994,0.592162
94,18.9994,0.594229
95,18.9994,0.586138
96,18.9994,0.594806
97,18.9994,0.594819
98,18.9994,0.586643
99,18.9995,0.595297
100,18.9994,0.591304
101,18.9995,0.585396
102,18.9994,0.590494
103,18.9994,0.594543
104,18.9995,0.59424
105,18.9994,0.59258
106,18.9994,0.59219
107,18.9994,0.579962
108,18.9994,0.614687
109,18.9994,0.595657
110,18.9994,0.653753
111,18.9995,0.674126
112,18.9994,0.68031
113,18.9995,0.659002
114,18.9994,0.636418
115,18.9994,0.596108
116,18.9994,0.592769
117,18.9994,0.593067
118,18.9994,0.592411
119,18.9994,0.583025
120,18.9994,0.59433
121,18.9994,0.595938
122,18.9994,0.592485
123,18.9994,0.592431
124,18.9994,0.590589
125,18.9994,0.590807
126,18.9994,0.555958
127,18.9994,0.556384
128,18.9994,0.555391
129,18.9994,0.593219
130,18.9994,0.610513
131,18.9994,0.593645
132,18.9994,0.592318
133,18.9994,0.592337
134,18.9994,0.628921
135,18.9995,0.646749
136,18.9995,0.640282
137,18.9995,0.640785
138,18.9995,0.631285
139,18.9995,0.546921
140,18.9994,0.556226
141,18.9994,0.553284
142,18.9994,0.55369
143,18.9994,0.55529
144,18.9995,0.55537
145,18.9995,0.559044
146,18.9994,0.555503
147,18.9994,0.5562
148,18.9994,0.555398
149,18.9994,0.555617
150,18.9994,0.55979
151,18.9994,0.546022
152,18.9994,0.555395
153,18.9994,0.555228
154,18.9994,0.557813
155,18.9994,0.560936
156,18.9994,0.555913
157,18.9994,0.556472
158,18.9994,0.558068
159,18.9994,0.640428
160,18.9994,0.640688
161,18.9995,0.644748
162,18.9994,0.636129
163,18.9994,0.571531
164,18.9994,0.556294
165,18.9994,0.55857
166,18.9994,0.555446
167,18.9994,0.556367
168,18.9994,0.555708
169,18.9994,0.555837
170,18.9995,0.563256
171,18.9995,0.540199
172,18.9994,0.48595
173,18.9994,0.460961
174,18.9994,0.457843
175,18.9994,0.458996
176,18.9994,0.457706
177,18.9995,0.446266
178,18.9994,0.464184
179,18.9994,0.43359
180,18.9994,0.447902
181,18.9994,0.415318
182,18.9994,0.423343
183,18.9995,0.515157
184,18.9995,0.555142
185,18.9994,0.555568
186,18.9995,0.543243
187,18.9995,0.464043
188,18.9994,0.436808
189,18.9994,0.398721
190,18.9994,0.457987
191,18.9994,0.415252
192,18.9994,0.414295
193,18.9994,0.414306
194,18.9994,0.414187
195,18.9994,0.400758
196,18.9994,0.467921
197,18.9994,0.458594
198,18.9993,0.416429
199,18.9993,0.414573
200,18.9994,0.415366
