N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 121"

Sample,"Volt avg 1","Curr avg 1"
1,18.9995,0.540598
2,18.9994,0.496789
3,18.9994,0.406418
4,18.9994,0.4477
5,18.9994,0.438064
6,18.9995,0.427634
7,18.9994,0.427545
8,18.9995,0.427489
9,18.9994,0.41648
10,18.9995,0.451759
11,18.9994,0.433693
12,18.9994,0.415799
13,18.9995,0.415564
14,18.9995,0.415994
15,18.9995,0.41092
16,18.9995,0.447131
17,18.9994,0.418758
18,18.9995,0.415695
19,18.9994,0.41659
20,18.9994,0.421456
21,18.9994,0.413892
22,18.9995,0.564661
23,18.9996,0.638146
24,18.9995,0.630501
25,18.9996,0.655894
26,18.9996,0.63148
27,18.9995,0.565638
28,18.9995,0.552654
29,18.9995,0.544523
30,18.9995,0.540977
31,18.9995,0.547581
32,18.9995,0.546619
33,18.9994,0.473836
34,18.9995,0.475114
35,18.9995,0.558081
36,18.9995,0.55075
37,18.9996,0.54252
38,18.9995,0.549473
39,18.9995,0.540371
40,18.9995,0.540667
41,18.9995,0.542819
42,18.9995,0.539318
43,18.9995,0.530759
44,18.9995,0.529278
45,18.9995,0.524596
46,18.9995,0.523405
47,18.9995,0.592992
48,18.9996,0.627458
49,18.9995,0.627235
50,18.9996,0.642018
51,18.9996,0.597395
52,18.9995,0.539576
53,18.9995,0.537909
54,18.9995,0.602364
55,18.9996,0.73102
56,18.9997,0.742549
57,18.9996,0.74364
58,18.9996,0.739539
59,18.9996,0.745201
60,18.9997,0.748516
61,18.9996,0.757393
62,18.9996,0.762579
63,18.9997,0.770559
64,18.9996,0.744596
65,18.9996,0.748141
66,18.9996,0.744924
67,18.9996,0.73993
68,18.9997,0.779394
69,18.9996,0.761293
70,18.9996,0.741605
71,18.9996,0.776441
72,18.9996,0.853822
73,18.9997,0.841327
74,18.9997,0.866663
75,18.9997,0.848002
76,18.9996,0.760899
77,18.9997,0.74242
78,18.9997,0.757054
79,18.9997,0.749948
80,18.9997,0.759327
81,18.9997,0.76212
82,18.9997,0.764991
83,18.9997,0.746872
84,18.9997,0.753746
85,18.9996,0.750603
86,18.9996,0.746824
87,18.9996,0.769904
88,18.9997,0.764852
89,18.9996,0.748212
90,18.9997,0.746109
91,18.9997,0.75049
92,18.9996,0.764484
93,18.9997,0.778909
94,18.9997,0.773253
95,18.9997,0.793447
96,18.9997,0.863659
97,18.9997,0.865628
98,18.9997,0.868163
99,18.9997,0.844996
100,18.9996,0.773362
101,18.9997,0.777901
102,18.9996,0.777912
103,18.9996,0.777961
104,18.9997,0.77781
105,18.9996,0.778846
106,18.9997,0.775565
107,18.9997,0.777816
108,18.9996,0.778014
109,18.9997,0.779074
110,18.9996,0.782998
111,18.9996,0.779339
112,18.9997,0.774509
113,18.9997,0.779321
114,18.9997,0.778289
115,18.9997,0.778445
116,18.9997,0.780396
117,18.9996,0.778746
118,18.9996,0.621583
119,18.9995,0.552491
120,18.9995,0.626779
121,18.9995,0.565019
122,18.9995,0.564387
123,18.9995,0.551779
124,18.9994,0.477825
125,18.9994,0.496993
126,18.9994,0.474708
127,18.9995,0.500097
128,18.9995,0.602246
129,18.9995,0.608475
130,18.9995,0.607437
131,18.9996,0.603661
132,18.9995,0.608393
133,18.9996,0.596199
134,18.9996,0.600191
135,18.9995,0.592797
136,18.9996,0.594033
137,18.9995,0.594941
138,18.9996,0.594459
139,18.9996,0.59373
140,18.9995,0.596558
141,18.9995,0.59236
142,18.9995,0.59093
143,18.9995,0.591607
144,18.9995,0.672811
145,18.9996,0.669961
146,18.9996,0.671607
147,18.9995,0.66391
148,18.9996,0.638129
149,18.9995,0.591665
150,18.9995,0.591655
151,18.9995,0.599292
152,18.9995,0.592591
153,18.9995,0.598936
154,18.9995,0.590933
155,18.9994,0.590928
156,18.9995,0.59296
157,18.9995,0.59647
158,18.9995,0.59137
159,18.9995,0.592121
160,18.9995,0.590327
161,18.9995,0.594906
162,18.9994,0.589864
163,18.9995,0.596556
164,18.9995,0.590677
165,18.9995,0.591951
166,18.9994,0.593721
167,18.9994,0.590789
168,18.9995,0.619748
169,18.9995,0.677125
170,18.9995,0.676163
171,18.9995,0.66894
172,18.9995,0.660151
173,18.9995,0.612157
174,18.9994,0.608898
175,18.9994,0.61722
176,18.9994,0.589741
177,18.9995,0.585246
178,18.9995,0.58379
179,18.9995,0.584405
180,18.9995,0.584533
181,18.9995,0.588382
182,18.9994,0.584027
183,18.9994,0.583085
184,18.9995,0.581667
185,18.9995,0.582349
186,18.9994,0.582546
187,18.9994,0.588605
188,18.9994,0.582048
189,18.9995,0.582597
190,18.9995,0.581503
191,18.9995,0.581465
192,18.9995,0.584707
193,18.9995,0.64136
194,18.9995,0.65881
195,18.9996,0.668936
196,18.9995,0.660217
197,18.9995,0.632206
198,18.9995,0.58267
199,18.9995,0.585018
200,18.9996,0.587557
201,18.9996,0.582061
202,18.9995,0.585669
203,18.9995,0.581913
204,18.9995,0.581046
205,18.9995,0.58515
206,18.9995,0.585307
207,18.9995,0.585111
208,18.9995,0.582455
209,18.9995,0.581749
210,18.9996,0.583025
211,18.9995,0.583939
212,18.9996,0.584091
213,18.9996,0.581926
214,18.9996,0.582247
215,18.9995,0.581736
216,18.9995,0.582053
217,18.9996,0.618382
218,18.9996,0.658831
219,18.9995,0.662262
220,18.9996,0.657515
221,18.9995,0.655194
222,18.9995,0.608986
223,18.9994,0.585443
224,18.9995,0.582931
225,18.9995,0.602058
226,18.9995,0.588373
227,18.9995,0.585326
228,18.9995,0.580581
229,18.9995,0.587678
230,18.9994,0.586353
231,18.9995,0.582709
232,18.9995,0.58541
233,18.9994,0.580326
234,18.9995,0.581981
235,18.9995,0.587124
236,18.9995,0.581409
237,18.9995,0.585757
238,18.9995,0.581479
239,18.9994,0.580949
240,18.9995,0.58186
241,18.9995,0.581815
242,18.9995,0.636964
243,18.9995,0.653198
244,18.9995,0.660318
245,18.9995,0.660913
246,18.9996,0.655998
247,18.9995,0.585453
248,18.9995,0.583806
249,18.9995,0.582929
250,18.9996,0.581737
251,18.9996,0.582621
252,18.9995,0.58478
253,18.9996,0.581846
254,18.9995,0.58166
255,18.9995,0.582166
256,18.9995,0.581981
257,18.9995,0.585921
258,18.9995,0.582505
259,18.9995,0.583778
260,18.9995,0.58737
261,18.9995,0.581755
262,18.9995,0.584454
263,18.9996,0.582199
264,18.9995,0.581534
265,18.9995,0.583222
266,18.9995,0.589442
267,18.9996,0.660211
268,18.9995,0.653955
269,18.9996,0.666795
270,18.9996,0.659028
271,18.9996,0.61844
272,18.9995,0.583307
273,18.9995,0.585393
274,18.9995,0.60696
275,18.9995,0.606043
276,18.9995,0.580411
277,18.9994,0.583983
278,18.9994,0.581983
279,18.9995,0.580221
280,18.9995,0.581386
281,18.9995,0.581994
282,18.9994,0.582715
283,18.9995,0.583422
284,18.9994,0.583232
285,18.9994,0.58205
286,18.9995,0.581654
287,18.9995,0.58202
288,18.9994,0.585309
289,18.9995,0.581094
290,18.9994,0.590621
291,18.9994,0.638107
292,18.9995,0.653797
293,18.9995,0.663027
294,18.9995,0.663934
295,18.9994,0.647143
296,18.9994,0.583916
297,18.9995,0.582296
298,18.9994,0.585853
299,18.9995,0.582564
300,18.9995,0.581726
301,18.9995,0.588771
302,18.9995,0.583551
303,18.9994,0.584898
304,18.9995,0.581303
305,18.9994,0.582914
306,18.9995,0.581919
307,18.9995,0.581607
308,18.9994,0.585355
309,18.9995,0.582545
310,18.9995,0.581446
311,18.9994,0.581312
312,18.9994,0.581719
313,18.9994,0.584084
314,18.9994,0.580576
315,18.9994,0.594844
316,18.9994,0.657047
317,18.9995,0.653608
318,18.9995,0.668015
319,18.9995,0.659054
320,18.9994,0.612178
321,18.9994,0.581495
322,18.9994,0.581244
323,18.9994,0.584766
324,18.9994,0.581312
325,18.9995,0.610507
326,18.9994,0.582609
327,18.9994,0.581907
328,18.9994,0.583872
329,18.9995,0.581518
330,18.9995,0.582301
331,18.9995,0.5819
332,18.9994,0.580549
333,18.9995,0.584351
334,18.9995,0.581682
335,18.9994,0.581932
336,18.9995,0.582382
337,18.9995,0.582598
338,18.9995,0.584861
339,18.9995,0.581648
340,18.9996,0.630793
341,18.9996,0.652584
342,18.9996,0.658708
343,18.9996,0.664714
344,18.9996,0.652675
345,18.9995,0.583534
346,18.9995,0.583018
347,18.9995,0.582594
348,18.9995,0.586126
349,18.9995,0.581715
350,18.9995,0.587395
351,18.9995,0.582148
352,18.9995,0.582745
353,18.9995,0.585432
354,18.9995,0.581378
355,18.9995,0.581919
356,18.9995,0.580812
357,18.9995,0.580586
358,18.9995,0.584748
359,18.9995,0.582482
360,18.9995,0.581458
361,18.9995,0.580868
362,18.9995,0.581795
363,18.9995,0.58459
364,18.9995,0.587941
365,18.9995,0.664019
366,18.9995,0.659446
367,18.9996,0.666989
368,18.9996,0.661125
369,18.9995,0.602857
370,18.9995,0.582988
371,18.9995,0.58253
372,18.9995,0.583293
373,18.9995,0.584279
374,18.9995,0.60241
375,18.9995,0.610185
376,18.9995,0.581586
377,18.9995,0.582273
378,18.9995,0.585171
379,18.9996,0.580842
380,18.9995,0.588315
381,18.9995,0.581224
382,18.9995,0.582638
383,18.9995,0.584274
384,18.9995,0.582251
385,18.9995,0.582492
386,18.9995,0.581997
387,18.9995,0.580846
388,18.9995,0.584668
389,18.9995,0.639818
390,18.9995,0.657877
391,18.9995,0.663419
392,18.9996,0.655641
393,18.9996,0.647483
394,18.9995,0.584338
395,18.9995,0.581852
396,18.9995,0.581073
397,18.9995,0.581142
398,18.9995,0.581975
399,18.9995,0.585882
400,18.9995,0.581027
401,18.9995,0.580602
402,18.9995,0.582631
403,18.9996,0.582411
404,18.9995,0.583333
405,18.9995,0.581012
406,18.9996,0.580938
407,18.9995,0.587616
408,18.9995,0.582101
409,18.9995,0.585642
410,18.9996,0.586777
411,18.9995,0.580929
412,18.9996,0.581184
413,18.9995,0.589171
414,18.9996,0.660639
415,18.9996,0.654177
416,18.9996,0.666597
417,18.9997,0.660305
418,18.9996,0.606723
419,18.9996,0.587277
420,18.9996,0.581911
421,18.9996,0.582727
422,18.9996,0.581115
423,18.9996,0.580801
424,18.9996,0.584938
425,18.9996,0.604813
426,18.9995,0.580042
427,18.9995,0.580543
428,18.9995,0.581345
429,18.9995,0.585535
430,18.9995,0.582087
431,18.9995,0.580947
432,18.9995,0.581699
433,18.9995,0.581739
434,18.9995,0.585666
435,18.9996,0.58186
436,18.9995,0.580658
437,18.9995,0.58315
438,18.9996,0.632827
439,18.9996,0.656221
440,18.9996,0.66408
441,18.9996,0.660888
442,18.9996,0.654493
443,18.9995,0.586234
444,18.9996,0.58575
445,18.9995,0.583789
446,18.9996,0.581996
447,18.9996,0.582423
448,18.9995,0.582491
449,18.9995,0.584804
450,18.9996,0.581394
451,18.9995,0.5816
452,18.9995,0.582239
453,18.9995,0.581091
454,18.9996,0.584084
455,18.9995,0.580295
456,18.9996,0.583213
457,18.9996,0.582226
458,18.9995,0.580345
459,18.9995,0.584739
460,18.9995,0.581913
461,18.9995,0.580375
462,18.9995,0.58576
463,18.9995,0.66113
464,18.9995,0.661023
465,18.9996,0.664374
466,18.9996,0.658586
467,18.9995,0.610824
468,18.9995,0.582218
469,18.9995,0.584907
470,18.9995,0.58626
471,18.9995,0.581768
472,18.9995,0.580928
473,18.9995,0.580684
474,18.9994,0.601122
475,18.9995,0.611268
476,18.9995,0.579731
477,18.9995,0.580903
478,18.9994,0.582931
479,18.9994,0.581922
480,18.9995,0.584873
481,18.9995,0.580776
482,18.9995,0.582679
483,18.9994,0.580679
484,18.9994,0.579932
485,18.9994,0.585543
486,18.9994,0.581113
487,18.9994,0.629378
488,18.9995,0.653626
489,18.9995,0.661636
490,18.9995,0.666068
491,18.9995,0.643292
492,18.9994,0.582654
493,18.9995,0.58192
494,18.9994,0.586533
495,18.9995,0.586308
496,18.9995,0.580985
497,18.9995,0.582282
498,18.9995,0.581055
499,18.9995,0.582598
500,18.9995,0.588782
501,18.9995,0.584177
502,18.9995,0.58335
503,18.9995,0.579879
504,18.9994,0.581553
505,18.9995,0.585171
506,18.9995,0.580588
507,18.9995,0.582011
508,18.9995,0.58227
509,18.9995,0.582884
510,18.9995,0.584923
511,18.9995,0.601869
512,18.9995,0.660175
513,18.9995,0.659505
514,18.9995,0.662736
515,18.9995,0.663092
516,18.9995,0.596754
517,18.9995,0.58795
518,18.9995,0.582074
519,18.9995,0.582996
520,18.9995,0.584969
521,18.9995,0.582693
522,18.9995,0.582536
523,18.9995,0.58235
524,18.9995,0.580993
525,18.9995,0.607616
526,18.9995,0.582181
527,18.9995,0.581307
528,18.9995,0.582082
529,18.9995,0.581975
530,18.9995,0.589029
531,18.9994,0.582339
532,18.9994,0.582425
533,18.9994,0.581777
534,18.9995,0.582595
535,18.9995,0.585427
536,18.9995,0.645938
537,18.9995,0.652903
538,18.9996,0.66059
539,18.9996,0.656504
540,18.9996,0.642529
541,18.9995,0.583044
542,18.9995,0.580903
543,18.9995,0.581883
544,18.9996,0.583116
545,18.9995,0.585753
546,18.9995,0.579085
547,18.9995,0.580249
548,18.9995,0.582026
549,18.9995,0.581073
550,18.9995,0.586313
551,18.9995,0.581802
552,18.9996,0.588622
553,18.9996,0.587776
554,18.9996,0.581965
555,18.9995,0.585049
556,18.9995,0.581115
557,18.9995,0.58136
558,18.9995,0.581464
559,18.9995,0.580912
560,18.9995,0.604914
561,18.9996,0.661277
562,18.9995,0.662914
563,18.9996,0.662952
564,18.9996,0.658264
565,18.9995,0.597264
566,18.9995,0.5824
567,18.9995,0.581754
568,18.9995,0.582086
569,18.9995,0.581273
570,18.9994,0.582378
571,18.9995,0.583654
572,18.9995,0.580936
573,18.9995,0.581672
574,18.9995,0.601355
575,18.9995,0.609262
576,18.9995,0.582877
577,18.9995,0.581846
578,18.9995,0.583648
579,18.9995,0.582539
580,18.9995,0.586326
581,18.9995,0.584106
582,18.9995,0.581901
583,18.9995,0.581613
584,18.9995,0.581683
585,18.9995,0.646813
586,18.9995,0.653699
587,18.9995,0.66212
588,18.9996,0.664561
589,18.9995,0.636085
590,18.9995,0.58618
591,18.9995,0.586071
592,18.9995,0.582799
593,18.9995,0.593774
594,18.9995,0.580253
595,18.9995,0.584124
596,18.9996,0.586595
597,18.9995,0.583263
598,18.9995,0.581353
599,18.9995,0.580713
600,18.9995,0.581321
601,18.9995,0.585168
602,18.9995,0.582046
603,18.9995,0.582881
604,18.9995,0.582507
605,18.9995,0.584116
606,18.9995,0.585424
607,18.9995,0.581667
608,18.9995,0.582458
609,18.9995,0.608057
610,18.9996,0.657658
611,18.9996,0.660966
612,18.9995,0.664461
613,18.9996,0.65906
614,18.9995,0.594321
615,18.9995,0.583398
616,18.9995,0.584652
617,18.9995,0.581197
618,18.9995,0.580574
619,18.9995,0.584235
620,18.9995,0.586814
621,18.9995,0.586195
622,18.9995,0.582333
623,18.9995,0.581451
624,18.9995,0.582053
625,18.9995,0.605279
626,18.9995,0.585082
627,18.9995,0.580937
628,18.9995,0.580682
629,18.9995,0.581651
630,18.9995,0.582035
631,18.9995,0.585613
632,18.9995,0.581778
633,18.9995,0.580915
634,18.9995,0.649026
635,18.9996,0.661975
636,18.9995,0.666608
637,18.9995,0.65362
638,18.9995,0.632304
639,18.9995,0.582079
640,18.9996,0.583191
641,18.9995,0.584891
642,18.9995,0.5819
643,18.9995,0.582076
644,18.9995,0.581341
645,18.9995,0.582562
646,18.9995,0.583317
647,18.9995,0.582299
648,18.9996,0.582881
649,18.9996,0.583434
650,18.9996,0.585697
651,18.9996,0.58368
652,18.9996,0.581267
653,18.9996,0.582055
654,18.9996,0.582178
655,18.9996,0.581875
656,18.9995,0.58535
657,18.9995,0.58045
658,18.9996,0.605227
659,18.9996,0.661183
660,18.9996,0.660517
661,18.9996,0.665845
662,18.9996,0.654448
663,18.9995,0.600954
664,18.9995,0.58269
665,18.9995,0.582477
666,18.9995,0.587216
667,18.9995,0.57927
668,18.9995,0.581977
669,18.9995,0.581955
670,18.9995,0.581456
671,18.9995,0.583897
672,18.9994,0.581407
673,18.9995,0.58116
674,18.9994,0.60435
675,18.9995,0.606654
676,18.9994,0.584892
677,18.9995,0.583165
678,18.9995,0.582931
679,18.9995,0.581371
680,18.9994,0.586293
681,18.9994,0.582366
682,18.9994,0.584587
683,18.9995,0.643371
684,18.9995,0.653197
685,18.9995,0.6577
686,18.9995,0.665227
687,18.9995,0.642793
688,18.9995,0.582271
689,18.9994,0.583289
690,18.9994,0.58185
691,18.9994,0.580825
692,18.9995,0.585819
693,18.9994,0.582202
694,18.9995,0.581565
695,18.9995,0.581626
696,18.9995,0.582393
697,18.9995,0.587229
698,18.9995,0.581247
