N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 15"

Sample,"Volt avg 1","Curr avg 1"
0,18.9994,0.440303
1,18.9995,0.432759
2,18.9994,0.427638
3,18.9995,0.433764
4,18.9995,0.417492
5,18.9995,0.465884
6,18.9996,0.54661
7,18.9996,0.554371
8,18.9995,0.548532
9,18.9995,0.521672
10,18.9995,0.498056
11,18.9995,0.572094
12,18.9995,0.550202
13,18.9995,0.544204
14,18.9995,0.543764
15,18.9995,0.550632
16,18.9995,0.545203
17,18.9995,0.548633
18,18.9995,0.548897
19,18.9995,0.545797
20,18.9996,0.54327
21,18.9996,0.527374
22,18.9995,0.487183
23,18.9995,0.476809
24,18.9996,0.554786
25,18.9996,0.543646
26,18.9996,0.545412
27,18.9996,0.556712
28,18.9996,0.557169
29,18.9996,0.569127
30,18.9996,0.624742
31,18.9996,0.629673
32,18.9996,0.633675
33,18.9996,0.633986
34,18.9996,0.53843
35,18.9995,0.52442
36,18.9996,0.537492
37,18.9996,0.528614
38,18.9995,0.523263
39,18.9996,0.540978
40,18.9996,0.549392
41,18.9996,0.539539
42,18.9996,0.610333
43,18.9997,0.703179
44,18.9997,0.766598
45,18.9996,0.673832
46,18.9996,0.627181
47,18.9996,0.618665
48,18.9996,0.585772
49,18.9996,0.583401
50,18.9996,0.64344
51,18.9995,0.640621
52,18.9995,0.641021
53,18.9995,0.640129
54,18.9997,0.725887
55,18.9996,0.725899
56,18.9996,0.71984
57,18.9996,0.724327
58,18.9996,0.672752
59,18.9996,0.658759
60,18.9996,0.654928
61,18.9996,0.655681
62,18.9996,0.653366
63,18.9995,0.652347
64,18.9995,0.655404
65,18.9995,0.653322
66,18.9995,0.654328
67,18.9996,0.652593
68,18.9996,0.652733
69,18.9996,0.659484
70,18.9996,0.652518
71,18.9996,0.682107
72,18.9996,0.676935
73,18.9996,0.656603
74,18.9996,0.659541
75,18.9996,0.655555
76,18.9996,0.658473
77,18.9996,0.653336
78,18.9997,0.720455
79,18.9997,0.749071
80,18.9997,0.752638
81,18.9997,0.746963
82,18.9997,0.682828
83,18.9996,0.658488
84,18.9997,0.656954
85,18.9997,0.656921
86,18.9997,0.654041
87,18.9996,0.660357
88,18.9997,0.657401
89,18.9997,0.660948
90,18.9996,0.655282
91,18.9996,0.655636
92,18.9996,0.656433
93,18.9996,0.654938
94,18.9996,0.656221
95,18.9996,0.653604
96,18.9996,0.653785
97,18.9996,0.655931
98,18.9996,0.654129
