N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 6"

Sample,"Volt avg 1","Curr avg 1"
1,18.9994,0.374189
2,18.9993,0.368434
3,18.9994,0.368515
4,18.9994,0.368884
5,18.9994,0.375729
6,18.9994,0.519126
7,18.9995,0.517263
8,18.9995,0.508894
9,18.9995,0.501479
10,18.9994,0.372417
11,18.9994,0.373271
12,18.9995,0.592502
13,18.9995,0.564711
14,18.9995,0.558711
15,18.9995,0.562872
16,18.9995,0.559066
17,18.9995,0.534666
18,18.9995,0.52685
19,18.9995,0.52734
20,18.9996,0.530412
21,18.9995,0.52805
22,18.9995,0.48923
23,18.9995,0.490441
24,18.9995,0.48991
25,18.9995,0.4924
26,18.9995,0.48955
27,18.9995,0.484871
28,18.9995,0.486358
29,18.9995,0.489869
30,18.9996,0.57067
31,18.9996,0.563914
32,18.9996,0.57321
33,18.9995,0.56584
34,18.9995,0.537808
35,18.9995,0.492902
36,18.9995,0.519126
37,18.9995,0.545741
38,18.9995,0.528007
39,18.9995,0.527128
40,18.9994,0.529598
41,18.9995,0.529675
42,18.9995,0.513464
43,18.9995,0.490053
44,18.9995,0.48965
45,18.9995,0.491716
46,18.9995,0.490211
47,18.9995,0.489499
48,18.9995,0.490873
49,18.9994,0.48944
50,18.9995,0.491823
51,18.9994,0.489621
52,18.9994,0.489278
53,18.9995,0.489405
54,18.9995,0.520922
55,18.9995,0.587061
56,18.9995,0.56379
57,18.9995,0.553863
58,18.9995,0.53886
59,18.9994,0.420045
60,18.9994,0.421073
61,18.9994,0.386964
62,18.9994,0.368648
63,18.9994,0.368634
64,18.9994,0.368552
65,18.9994,0.368893
66,18.9994,0.369431
67,18.9994,0.368565
68,18.9994,0.368949
69,18.9994,0.368426
70,18.9994,0.368636
71,18.9994,0.370584
72,18.9994,0.372023
73,18.9994,0.368461
74,18.9994,0.368417
75,18.9994,0.368341
76,18.9993,0.369743
77,18.9994,0.368428
78,18.9994,0.372149
79,18.9994,0.513359
80,18.9994,0.514225
81,18.9995,0.513754
82,18.9994,0.509305
83,18.9994,0.389048
84,18.9993,0.368754
85,18.9994,0.368662
86,18.9993,0.372291
87,18.9994,0.484732
88,18.9994,0.430915
89,18.9994,0.419413
90,18.9994,0.419378
91,18.9994,0.420905
92,18.9994,0.419555
93,18.9994,0.419295
94,18.9994,0.419345
95,18.9994,0.419289
96,18.9994,0.420931
97,18.9994,0.419443
98,18.9994,0.419684
99,18.9994,0.419318
100,18.9994,0.419206
