N6705A exported datalog

"Sample interval: 0.00999424"
"Trigger sample: 130"

Sample,"Volt avg 1","Curr avg 1"
0,12.0016,0.136174
1,12.0016,0.136671
2,12.0016,0.13612
3,12.0016,0.136604
4,12.0016,0.136088
5,12.0016,0.136613
6,12.0017,0.136071
7,12.0016,0.136037
8,12.0016,0.136703
9,12.0016,0.135992
10,12.0016,0.136669
11,12.0015,0.136041
12,12.0016,0.136629
13,12.0016,0.13606
14,12.0016,0.136657
15,12.0016,0.136113
16,12.0016,0.136082
17,12.0015,0.136693
18,12.0016,0.136101
19,12.0016,0.136873
20,12.0017,0.136107
21,12.0016,0.136635
22,12.0016,0.13609
23,12.0016,0.136636
24,12.0015,0.136057
25,12.0016,0.136983
26,12.0016,0.13654
27,12.0016,0.136473
28,12.0017,0.136899
29,12.0016,0.136452
30,12.0017,0.136915
31,12.0015,0.136386
32,12.0017,0.136981
33,12.0015,0.13635
34,12.0016,0.137059
35,12.0017,0.136405
36,12.0016,0.136393
37,12.0017,0.137048
38,12.0017,0.136393
39,12.0017,0.13698
40,12.0017,0.136429
41,12.0016,0.136956
42,12.0017,0.136467
43,12.0016,0.136991
44,12.0017,0.136411
45,12.0016,0.137023
46,12.0016,0.136397
47,12.0016,0.136376
48,12.0017,0.137026
49,12.0016,0.136448
50,12.0016,0.13695
51,12.0016,0.136398
52,12.0016,0.137019
53,12.0016,0.136397
54,12.0016,0.136917
55,12.0016,0.136434
56,12.0016,0.13638
57,12.0016,0.136961
58,12.0016,0.136413
59,12.0016,0.136958
60,12.0016,0.136458
61,12.0016,0.136958
62,12.0016,0.136439
63,12.0016,0.137272
64,12.0015,0.136422
65,12.0015,0.13698
66,12.0016,0.136461
67,12.0017,0.136364
68,12.0016,0.136886
69,12.0015,0.136112
70,12.0016,0.13669
71,12.0017,0.136012
72,12.0017,0.136632
73,12.0016,0.13606
74,12.0016,0.136641
75,12.0016,0.136032
76,12.0016,0.136115
77,12.0016,0.136609
78,12.0017,0.136083
79,12.0016,0.136609
80,12.0016,0.136038
81,12.0017,0.136644
82,12.0015,0.136095
83,12.0015,0.136616
84,12.0017,0.136093
85,12.0016,0.136663
86,12.0017,0.13607
87,12.0017,0.136084
88,12.0016,0.136555
89,12.0016,0.136078
90,12.0016,0.136673
91,12.0016,0.136125
92,12.0016,0.136638
93,12.0016,0.136054
94,12.0017,0.13663
95,12.0016,0.136457
96,12.0016,0.136299
97,12.0018,0.136397
98,12.0017,0.136048
99,12.0016,0.136598
100,12.0016,0.136142
101,12.0016,0.136633
102,12.0015,0.136054
103,12.0015,0.13662
104,12.0016,0.13606
105,12.0016,0.136607
106,12.0017,0.136058
107,12.0016,0.136081
108,12.0016,0.136635
109,12.0016,0.136083
110,12.0016,0.136665
111,12.0016,0.136038
112,12.0016,0.136601
113,12.0016,0.136043
114,12.0016,0.13666
115,12.0016,0.136074
116,12.0016,0.136444
117,12.0017,0.136162
118,12.0016,0.136052
119,12.0017,0.13662
120,12.0016,0.136279
121,12.0016,0.136628
122,12.0016,0.136053
123,12.0016,0.13661
124,12.0016,0.136094
125,12.0015,0.136637
126,12.0015,0.136161
127,12.0017,0.136039
128,12.0016,0.139758
129,12.0017,0.155728
130,12.0017,0.154122
131,12.0017,0.176832
132,12.0016,0.183457
133,12.0017,0.174445
134,12.0018,0.169409
135,12.0017,0.157278
136,12.0016,0.159655
137,12.0017,0.158359
138,12.0017,0.159071
139,12.0017,0.15879
140,12.0017,0.158592
141,12.0016,0.158526
142,12.0016,0.157257
143,12.0016,0.157811
144,12.0015,0.15727
145,12.0015,0.157866
146,12.0017,0.157245
147,12.0016,0.157832
148,12.0017,0.157234
149,12.0015,0.157796
150,12.0017,0.15731
151,12.0016,0.157218
152,12.0016,0.157821
153,12.0017,0.157398
154,12.0017,0.157743
155,12.0017,0.157314
156,12.0017,0.1578
157,12.0016,0.157214
158,12.0017,0.157818
159,12.0016,0.157173
160,12.0018,0.157332
161,12.0017,0.157776
162,12.0016,0.157261
163,12.0016,0.157851
164,12.0017,0.157254
165,12.0016,0.157801
166,12.0017,0.157322
167,12.0016,0.157611
168,12.0017,0.157326
169,12.0018,0.157764
170,12.0017,0.157337
171,12.0017,0.157258
172,12.0017,0.157796
173,12.0016,0.157283
174,12.0017,0.157844
175,12.0017,0.1573
176,12.0017,0.157746
177,12.0016,0.157206
178,12.0017,0.157834
179,12.0017,0.157242
180,12.0017,0.157191
181,12.0017,0.157817
182,12.0016,0.15727
183,12.0016,0.15783
184,12.0017,0.157324
185,12.0017,0.157816
186,12.0015,0.157173
187,12.0017,0.157798
188,12.0017,0.157328
189,12.0016,0.157811
190,12.0016,0.157311
191,12.0016,0.15775
192,12.0017,0.157869
193,12.0016,0.157271
194,12.0016,0.157802
195,12.0016,0.159691
196,12.0017,0.157932
197,12.0017,0.157365
198,12.0017,0.157846
199,12.0017,0.157326
200,12.0017,0.157221
201,12.0017,0.157855
202,12.0017,0.157234
203,12.0017,0.157823
204,12.0018,0.157293
205,12.0017,0.157784
206,12.0017,0.157176
207,12.0017,0.157855
208,12.0016,0.157242
209,12.0016,0.157859
210,12.0015,0.157259
211,12.0016,0.157273
212,12.0016,0.157802
213,12.0016,0.15728
214,12.0017,0.157844
215,12.0017,0.157254
216,12.0017,0.157864
217,12.0016,0.157289
218,12.0017,0.15778
219,12.0017,0.157234
220,12.0017,0.157673
221,12.0017,0.157869
222,12.0017,0.157325
223,12.0017,0.15782
224,12.0017,0.157339
225,12.0017,0.1578
226,12.0017,0.157339
227,12.0016,0.158204
228,12.0017,0.157275
229,12.0017,0.157829
230,12.0017,0.157294
231,12.0017,0.157329
232,12.0017,0.157767
233,12.0017,0.157351
234,12.0017,0.178699
235,12.0018,0.16587
236,12.0017,0.158899
237,12.0017,0.159332
238,12.0017,0.158758
239,12.0017,0.159316
240,12.0016,0.158597
241,12.0016,0.159144
242,12.0017,0.157701
243,12.0016,0.15777
244,12.0017,0.156506
245,12.0017,0.156308
246,12.0017,0.156642
247,12.0017,0.156175
248,12.0016,0.156598
249,12.0016,0.158492
250,12.0016,0.156753
251,12.0017,0.156182
