N6705A exported datalog

"Sample interval: 0.00999424"
"Trigger sample: 0"

Sample,"Volt avg 1","Curr avg 1"
0,12.0015,0.136097
1,12.0015,0.136588
2,12.0015,0.136037
3,12.0016,0.136626
4,12.0016,0.136131
5,12.0015,0.136079
6,12.0016,0.136586
7,12.0015,0.136093
8,12.0017,0.136639
9,12.0016,0.136082
10,12.0016,0.136657
11,12.0016,0.136049
12,12.0015,0.136633
13,12.0015,0.136103
14,12.0015,0.136672
15,12.0015,0.136006
16,12.0016,0.13615
17,12.0015,0.136593
18,12.0015,0.13607
19,12.0015,0.136618
20,12.0016,0.136082
21,12.0016,0.136665
22,12.0016,0.136088
23,12.0016,0.136702
24,12.0015,0.136064
25,12.0015,0.136217
26,12.0016,0.136481
27,12.0016,0.136046
28,12.0016,0.136646
29,12.0016,0.136033
30,12.0015,0.136664
31,12.0016,0.136026
32,12.0015,0.13669
33,12.0016,0.136045
34,12.0016,0.147721
35,12.0016,0.138636
36,12.0016,0.136843
37,12.0016,0.137277
38,12.0016,0.136796
39,12.0016,0.137301
40,12.0015,0.136713
41,12.0015,0.137412
42,12.0015,0.136748
43,12.0015,0.137352
44,12.0016,0.136782
45,12.0015,0.137077
46,12.0015,0.136949
47,12.0015,0.136736
48,12.0015,0.137296
49,12.0016,0.137138
50,12.0016,0.137699
51,12.0016,0.137113
52,12.0015,0.137598
53,12.0015,0.137146
54,12.0016,0.137569
55,12.0016,0.137148
56,12.0015,0.137071
57,12.0016,0.137645
58,12.0016,0.137158
59,12.0015,0.137602
60,12.0016,0.137143
61,12.0016,0.137675
62,12.0015,0.137116
63,12.0016,0.137675
64,12.0016,0.13713
65,12.0015,0.137573
66,12.0015,0.137389
67,12.0015,0.137082
68,12.0015,0.13762
69,12.0015,0.137104
70,12.0015,0.137633
71,12.0015,0.1371
72,12.0015,0.137703
73,12.0016,0.137104
74,12.0016,0.137703
75,12.0016,0.137327
76,12.0015,0.137148
77,12.0016,0.137625
78,12.0016,0.137213
79,12.0016,0.137706
80,12.0016,0.137169
81,12.0017,0.137666
82,12.0016,0.137141
83,12.0015,0.137771
84,12.0015,0.137065
85,12.0016,0.137631
86,12.0016,0.137164
87,12.0016,0.137095
88,12.0016,0.137706
89,12.0016,0.137168
90,12.0016,0.137699
91,12.0015,0.137101
92,12.0015,0.137567
93,12.0015,0.136837
94,12.0015,0.137287
95,12.0016,0.136728
96,12.0016,0.13683
97,12.0016,0.137345
98,12.0016,0.136819
99,12.0015,0.137354
100,12.0016,0.136793
101,12.0016,0.137287
102,12.0015,0.136828
103,12.0016,0.137331
104,12.0016,0.136751
105,12.0016,0.137326
106,12.0016,0.136884
107,12.0016,0.136782
108,12.0015,0.137289
109,12.0015,0.136818
110,12.0015,0.137337
111,12.0015,0.136785
112,12.0015,0.137316
113,12.0016,0.136818
114,12.0016,0.137364
115,12.0015,0.136778
116,12.0016,0.136755
117,12.0016,0.137381
118,12.0015,0.136802
119,12.0015,0.137328
120,12.0015,0.136823
121,12.0015,0.137348
122,12.0015,0.136704
123,12.0016,0.137359
124,12.0015,0.136844
125,12.0016,0.137343
126,12.0015,0.136806
127,12.0015,0.136779
128,12.0015,0.137332
129,12.0015,0.136753
130,12.0015,0.137493
131,12.0015,0.13683
132,12.0015,0.137324
133,12.0016,0.136784
134,12.0016,0.13953
135,12.0016,0.136742
136,12.0016,0.136753
137,12.0016,0.137365
138,12.0015,0.13677
139,12.0015,0.137372
140,12.0015,0.136709
141,12.0015,0.137373
142,12.0015,0.136757
143,12.0015,0.137354
144,12.0016,0.136756
145,12.0016,0.137344
146,12.0016,0.136722
147,12.0015,0.136707
148,12.0015,0.137305
149,12.0016,0.136779
150,12.0015,0.137372
151,12.0015,0.136741
152,12.0014,0.137307
153,12.0015,0.136745
154,12.0015,0.137342
155,12.0016,0.136817
156,12.0015,0.136769
157,12.0016,0.137317
158,12.0016,0.13677
159,12.0016,0.137305
