N6705A exported datalog

"Sample interval: 0.00999424"
"Trigger sample: 81"

Sample,"Volt avg 1","Curr avg 1"
31,18.9999,0.398116
32,18.9998,0.427445
33,18.9997,0.491631
34,18.9998,0.540104
35,19,0.458415
36,18.9998,0.406313
37,18.9998,0.405535
38,18.9999,0.404357
39,18.9998,0.405501
40,18.9997,0.404694
41,18.9998,0.404477
42,18.9998,0.398875
43,18.9998,0.397107
44,18.9999,0.397202
45,18.9997,0.397909
46,18.9997,0.397121
47,18.9998,0.397596
48,18.9997,0.397377
49,18.9998,0.397489
50,18.9999,0.397615
51,18.9998,0.397623
52,18.9998,0.397626
53,18.9998,0.397199
54,18.9997,0.397748
55,18.9999,0.397143
56,18.9999,0.397237
57,18.9997,0.40408
58,18.9999,0.397188
59,18.9999,0.397698
60,18.9997,0.397576
61,18.9998,0.39734
62,18.9998,0.397842
63,18.9997,0.397875
64,19,0.400134
65,18.9998,0.397668
66,18.9999,0.39837
67,18.9999,0.397725
68,18.9998,0.39764
69,18.9999,0.397607
70,18.9998,0.430647
71,18.9998,0.406608
72,18.9999,0.406004
73,18.9999,0.409413
74,18.9999,0.40433
75,18.9998,0.404559
76,18.9997,0.404558
77,18.9999,0.404696
78,18.9998,0.4046
79,18.9997,0.425589
80,18.9999,0.520338
81,19,0.586993
82,18.9998,0.629792
83,19.0001,0.566898
84,18.9998,0.524269
85,18.9999,0.533611
86,18.9999,0.603188
87,18.9998,0.534739
88,19,0.533326
89,19,0.534195
90,18.9998,0.534819
91,19,0.534045
92,18.9999,0.52858
93,18.9999,0.525162
94,18.9999,0.526773
95,18.9998,0.527754
96,18.9999,0.527505
97,18.9999,0.527028
98,18.9998,0.526383
99,19,0.525411
100,19,0.525252
101,18.9998,0.530031
102,19,0.526388
103,18.9999,0.52551
104,18.9998,0.526856
105,18.9999,0.526301
106,18.9999,0.526222
107,19,0.524806
108,19,0.531217
109,18.9999,0.527302
110,19,0.528411
111,18.9998,0.527592
112,19,0.528818
113,18.9999,0.530177
114,18.9999,0.526881
115,19.0001,0.526014
116,18.9999,0.527593
117,18.9999,0.527102
118,18.9999,0.527396
119,18.9998,0.527386
120,19,0.525942
121,18.9999,0.527511
122,18.9999,0.528892
123,18.9999,0.539135
124,18.9998,0.534632
125,18.9999,0.526865
126,18.9999,0.527592
127,18.9998,0.526768
128,19,0.52772
129,18.9999,0.528588
130,19,0.526833
131,18.9999,0.526513
132,18.9999,0.528386
133,19,0.526821
134,18.9998,0.527332
135,19,0.526203
136,18.9999,0.523387
