N6705A exported datalog

"Sample interval: 0.00999424"
"Trigger sample: 152"

Sample,"Volt avg 1","Curr avg 1"
2,19.0003,0.52858
3,19.0004,0.526741
4,19.0002,0.528948
5,19.0001,0.52632
6,19.0001,0.534756
7,19.0001,0.49009
8,19,0.46498
9,19,0.408889
10,19,0.398636
11,19,0.397523
12,18.9999,0.397523
13,18.9999,0.397296
14,18.9998,0.396853
15,18.9997,0.39713
16,18.9996,0.397259
17,18.9995,0.398479
18,18.9994,0.397336
19,18.9994,0.396688
20,18.9995,0.397206
21,18.9996,0.396929
22,18.9997,0.396029
23,18.9999,0.396628
24,19.0001,0.396134
25,19.0004,0.396896
26,19.0004,0.396493
27,19.0003,0.396363
28,19.0003,0.396744
29,19.0002,0.396595
30,19.0001,0.396908
31,19.0002,0.396887
32,19.0002,0.396138
33,19.0002,0.397332
34,19.0002,0.39667
35,19.0003,0.396587
36,19.0002,0.396962
37,19.0002,0.396512
38,19.0002,0.396967
39,19.0003,0.396354
40,19.0001,0.348109
41,19.0001,0.34783
42,18.9999,0.34654
43,18.9999,0.346728
44,18.9999,0.346845
45,18.9997,0.34673
46,18.9997,0.37796
47,18.9997,0.476217
48,18.9997,0.465866
49,18.9996,0.486543
50,18.9995,0.447381
51,18.9996,0.44925
52,18.9996,0.442186
53,18.9994,0.404766
54,18.9994,0.403691
55,18.9995,0.407493
56,18.9995,0.4038
57,18.9997,0.403149
58,18.9999,0.397749
59,19,0.39613
60,19,0.396306
61,19.0001,0.397738
62,19.0001,0.396321
63,19.0003,0.396687
64,19.0003,0.396343
65,19.0001,0.398237
66,19,0.397116
67,19.0001,0.39693
68,19.0001,0.397256
69,19.0001,0.396495
70,19,0.397246
71,18.9999,0.397936
72,18.9999,0.397123
73,18.9999,0.397307
74,18.9999,0.39668
75,18.9999,0.396884
76,18.9999,0.396965
77,18.9999,0.396702
78,18.9999,0.397035
79,18.9998,0.396743
80,18.9998,0.396809
81,18.9997,0.397352
82,18.9995,0.397048
83,18.9993,0.397317
84,18.9996,0.396509
85,18.9998,0.396216
86,19,0.396646
87,19.0001,0.396038
88,19.0003,0.396131
89,19.0002,0.396229
90,19.0001,0.396947
91,19.0001,0.397162
92,19,0.396803
93,18.9999,0.397099
94,18.9999,0.396675
95,18.9997,0.397053
96,18.9997,0.396686
97,18.9997,0.396803
98,18.9995,0.397207
99,18.9995,0.396717
100,18.9995,0.39688
101,18.9994,0.411769
102,18.9994,0.361439
103,18.9995,0.347459
104,18.9996,0.346198
105,18.9995,0.346981
106,18.9995,0.368016
107,18.9994,0.45506
108,18.9996,0.474864
109,18.9998,0.495052
110,18.9999,0.447315
111,19.0001,0.448013
112,19.0003,0.446326
113,19.0002,0.44668
114,19.0002,0.446884
115,19.0001,0.446829
116,19,0.446515
117,18.9999,0.447402
118,18.9997,0.441962
119,18.9995,0.440445
120,18.9995,0.440204
121,18.9997,0.444191
122,19.0001,0.449367
123,19.0002,0.447423
124,19.0002,0.44551
125,19.0001,0.446099
126,19.0001,0.445755
127,19.0001,0.44225
128,18.9999,0.442134
129,18.9998,0.441304
130,18.9997,0.440236
131,18.9993,0.443943
132,18.9996,0.425793
133,18.9998,0.414631
134,19.0002,0.413601
135,19.0003,0.414923
136,19.0002,0.414424
137,19.0001,0.414585
138,19,0.415009
139,19,0.414706
140,19,0.414851
141,19,0.415297
142,18.9999,0.414678
143,18.9999,0.415191
144,18.9998,0.414312
145,18.9998,0.427782
146,18.9996,0.466534
147,18.9996,0.602776
148,18.9996,0.62642
149,18.9998,0.597889
150,18.9996,0.543317
151,18.9995,0.544218
152,18.9996,0.560598
153,18.9996,0.535823
154,18.9998,0.57188
155,19,0.537674
156,19,0.534747
157,19.0002,0.527322
158,19.0003,0.503364
159,19.0002,0.52643
160,19.0002,0.538009
161,19,0.530868
162,18.9999,0.52897
163,18.9996,0.528446
164,18.9994,0.528322
165,18.9998,0.528807
166,19.0002,0.527614
167,19.0002,0.537795
168,19.0001,0.528255
169,19,0.528904
170,18.9999,0.528264
171,18.9996,0.53071
172,18.9996,0.537527
173,19,0.529628
174,19.0003,0.527541
175,19.0002,0.539316
176,19.0001,0.529335
177,19,0.52976
178,18.9998,0.533367
179,18.9996,0.528696
180,18.9996,0.531748
181,18.9999,0.529163
182,19.0003,0.52999
183,19.0002,0.529144
184,19.0002,0.53107
185,19.0001,0.528461
186,18.9999,0.528775
187,18.9996,0.528313
188,18.9995,0.537218
189,18.9997,0.528163
190,18.9999,0.527532
191,19.0002,0.528875
192,19.0003,0.577752
193,19.0002,0.583932
194,19.0002,0.564496
195,19.0001,0.618082
196,19,0.615305
197,19,0.606395
198,18.9997,0.581968
199,18.9995,0.582741
200,18.9999,0.581055
201,19.0004,0.581474
202,19.0003,0.595744
203,19.0001,0.583791
204,18.9999,0.58107
205,18.9997,0.574475
206,18.9998,0.59239
207,19.0003,0.580633
208,19.0003,0.634501
209,19.0003,0.684972
210,19.0002,0.67612
211,19,0.669344
212,18.9997,0.670032
213,18.9997,0.665672
214,19.0002,0.666367
215,19.0004,0.663402
216,19.0003,0.661836
217,19.0002,0.659072
218,18.9999,0.657076
219,18.9998,0.661472
220,18.9998,0.662979
221,19.0002,0.654382
222,19.0004,0.656488
223,19.0002,0.655126
224,19.0001,0.661829
225,18.9998,0.664517
226,18.9996,0.65299
227,18.9998,0.626305
228,19.0002,0.672509
229,19.0004,0.680162
230,19.0002,0.661775
231,19.0001,0.662166
232,18.9998,0.664961
233,18.9996,0.663524
234,19,0.682879
235,19.0003,0.662692
236,19.0002,0.663064
237,19.0002,0.662497
238,18.9999,0.659334
239,18.9996,0.658451
240,18.9998,0.657838
241,19.0003,0.654673
242,19.0004,0.657786
243,19.0002,0.658934
244,19.0001,0.656263
245,18.9998,0.655981
246,18.9996,0.66027
247,18.9998,0.655996
248,18.9999,0.652839
249,19.0001,0.657719
250,19.0003,0.635121
251,19.0006,0.607727
252,19.0004,0.584688
253,19.0003,0.594732
254,19.0002,0.580888
255,19.0001,0.584273
256,19,0.576369
257,18.9999,0.57709
258,18.9999,0.575346
259,18.9997,0.573524
260,18.9995,0.541865
261,18.9997,0.540361
262,18.9999,0.537884
263,19.0001,0.537627
264,19.0002,0.539607
265,19.0004,0.537254
266,19.0002,0.567062
267,19.0002,0.606418
268,19.0001,0.624207
269,19.0002,0.588894
270,18.9999,0.583405
271,18.9999,0.584175
272,18.9998,0.582659
273,18.9996,0.582233
274,18.9997,0.581095
275,19,0.580438
276,19.0002,0.578755
277,19.0004,0.574413
278,19.0002,0.575841
279,19.0002,0.576801
280,19.0001,0.574429
281,19.0001,0.573896
282,19.0001,0.576633
283,19,0.575453
284,18.9999,0.574863
285,18.9999,0.574771
286,18.9997,0.574712
287,18.9996,0.573927
288,18.9996,0.576443
289,18.9996,0.575732
290,18.9998,0.575127
291,18.9998,0.573832
292,18.9998,0.575118
293,18.9999,0.573369
294,18.9999,0.575061
295,18.9999,0.573968
296,19,0.574717
297,19,0.574666
298,19,0.574134
299,18.9999,0.574462
300,19,0.576624
301,19.0001,0.574433
302,19.0002,0.575164
303,19.0004,0.588613
304,19.0003,0.574177
305,19.0003,0.574763
306,19.0002,0.574943
307,19.0001,0.575026
308,19.0001,0.574409
309,19.0001,0.57442
310,19,0.57546
311,19,0.57213
312,18.9999,0.569432
313,18.9997,0.575112
314,18.9996,0.57425
315,18.9995,0.564321
316,18.9995,0.575283
317,18.9997,0.574218
318,18.9998,0.566041
319,19,0.577369
320,19.0001,0.579974
321,19.0004,0.538289
322,19.0004,0.528679
323,19.0002,0.539162
324,19.0001,0.538948
325,19.0001,0.53722
326,18.9999,0.546257
327,19,0.604965
328,18.9999,0.605219
329,19,0.60328
330,18.9999,0.58135
331,18.9998,0.583974
332,18.9999,0.584323
333,18.9997,0.573732
334,18.9999,0.582455
335,18.9999,0.582245
336,18.9999,0.579162
337,19,0.564809
338,18.9999,0.575524
339,19,0.575805
340,18.9999,0.566561
341,18.9999,0.575448
342,19.0001,0.575509
343,19.0001,0.565471
344,19.0001,0.574611
345,19.0001,0.575754
346,19.0002,0.575497
347,19.0001,0.570169
348,19.0001,0.574813
349,19.0001,0.576232
350,19.0001,0.57513
351,19.0001,0.5752
352,19.0001,0.575851
353,19.0002,0.59229
354,19.0002,0.575493
355,19.0003,0.577665
356,19.0002,0.575136
357,19.0002,0.575386
358,19.0002,0.575095
359,19.0002,0.574924
360,19.0001,0.575342
361,19.0002,0.577306
362,19.0002,0.575397
363,19.0002,0.575166
364,19.0001,0.574622
365,19.0001,0.575311
366,19,0.574261
367,19,0.574501
368,18.9998,0.5746
369,18.9997,0.575762
370,18.9996,0.57654
371,18.9995,0.586991
372,18.9995,0.567763
373,18.9997,0.657305
374,18.9999,0.641577
375,19.0001,0.582139
376,19.0002,0.586779
377,19.0005,0.583437
378,19.0005,0.582034
379,19.0004,0.581492
380,19.0004,0.581984
381,19.0004,0.592275
382,19.0003,0.581959
383,19.0003,0.578738
384,19.0003,0.574761
385,19.0002,0.575409
386,19.0003,0.588306
387,19.0002,0.583444
388,19.0003,0.628889
389,19.0002,0.585081
390,19.0002,0.581725
391,19.0001,0.583379
392,19.0001,0.581554
393,19.0001,0.583086
394,19,0.581997
395,19,0.583489
396,19.0001,0.579421
397,18.9999,0.57568
398,18.9999,0.574671
399,18.9998,0.576814
400,18.9997,0.574984
401,18.9996,0.576161
402,18.9997,0.574931
403,18.9999,0.590261
404,19.0003,0.574052
405,19.0004,0.574594
406,19.0002,0.5749
407,19.0002,0.575702
408,19.0001,0.574944
409,19,0.575754
410,18.9999,0.575341
411,18.9999,0.575754
412,18.9997,0.575216
413,18.9997,0.575721
414,18.9997,0.576287
415,18.9995,0.574885
416,18.9994,0.574005
417,18.9996,0.575742
418,18.9995,0.575148
419,18.9996,0.575547
420,18.9997,0.57472
421,18.9998,0.585558
422,18.9999,0.583426
423,19,0.583912
424,19.0002,0.519999
425,19.0003,0.581289
426,19.0004,0.579998
427,19.0005,0.575981
428,19.0005,0.575225
429,19.0003,0.575333
430,19.0002,0.575824
431,19.0003,0.576385
432,19.0003,0.575904
433,19.0001,0.576975
434,19.0001,0.575236
435,19,0.575882
436,18.9998,0.57683
437,18.9997,0.575165
438,18.9995,0.575087
439,18.9995,0.579098
440,18.9996,0.538336
441,18.9998,0.548423
442,18.9999,0.539349
443,18.9999,0.538716
444,18.9999,0.537352
445,18.9998,0.538589
446,18.9998,0.538478
447,18.9999,0.606695
448,19,0.597434
449,19,0.632252
450,18.9999,0.581419
451,18.9998,0.627359
452,18.9997,0.687902
453,18.9998,0.681335
454,18.9997,0.683708
455,18.9997,0.670605
456,18.9997,0.66892
457,18.9997,0.665455
458,18.9998,0.661853
459,18.9997,0.655974
460,18.9998,0.657961
461,18.9998,0.662483
462,18.9999,0.65782
463,18.9999,0.654736
464,18.9999,0.655779
465,18.9999,0.657354
466,19,0.659387
467,19,0.656913
468,19.0001,0.653723
469,18.9999,0.642047
470,18.9999,0.634272
471,19,0.679326
472,19.0001,0.66668
473,19.0001,0.663784
474,19.0001,0.657729
475,19.0002,0.66397
476,19.0002,0.663497
477,19.0004,0.679581
478,19.0004,0.662748
479,19.0004,0.658126
480,19.0004,0.657214
481,19.0005,0.659521
482,19.0005,0.653751
483,19.0004,0.658339
484,19.0004,0.65521
485,19.0004,0.657356
486,19.0005,0.653513
487,19.0004,0.654389
488,19.0004,0.656524
489,19.0004,0.657781
490,19.0003,0.654527
491,19.0003,0.655873
492,19.0003,0.656797
493,19.0004,0.603596
494,19.0002,0.540141
495,19.0002,0.577305
496,19.0002,0.57563
497,19.0001,0.577971
498,19,0.575159
499,19,0.576618
500,19,0.576019
501,19.0001,0.581319
502,19.0001,0.539307
503,19,0.544429
504,19,0.55708
505,19,0.538617
