N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 60"

Sample,"Volt avg 1","Curr avg 1"
0,18.9993,0.550165
1,18.9992,0.549987
2,18.9992,0.500844
3,18.9991,0.421599
4,18.9992,0.422733
5,18.9992,0.425823
6,18.9992,0.420094
7,18.9992,0.510597
8,18.9993,0.56772
9,18.9993,0.562115
10,18.9993,0.562107
11,18.9993,0.595202
12,18.9993,0.567834
13,18.9993,0.57021
14,18.9992,0.571369
15,18.9992,0.564186
16,18.9992,0.565338
17,18.9993,0.566727
18,18.9992,0.552355
19,18.9992,0.56331
20,18.9992,0.570469
21,18.9992,0.564735
22,18.9993,0.60053
23,18.9993,0.64422
24,18.9993,0.642602
25,18.9993,0.640275
26,18.9993,0.640838
27,18.9993,0.559334
28,18.9993,0.56448
29,18.9993,0.564635
30,18.9993,0.564242
31,18.9993,0.558336
32,18.9993,0.5986
33,18.9993,0.565035
34,18.9993,0.564953
35,18.9992,0.567283
36,18.9992,0.564391
37,18.9992,0.577543
38,18.9993,0.56539
39,18.9993,0.564085
40,18.9993,0.567563
41,18.9993,0.564495
42,18.9993,0.564578
43,18.9993,0.561974
44,18.9993,0.571652
45,18.9993,0.569354
46,18.9993,0.573501
47,18.9994,0.63988
48,18.9994,0.635711
49,18.9993,0.640643
50,18.9994,0.651317
51,18.9993,0.574728
52,18.9993,0.566415
53,18.9993,0.564887
54,18.9992,0.562436
55,18.9992,0.560735
56,18.9992,0.57032
57,18.9992,0.563788
58,18.9992,0.564879
59,18.9993,0.564733
60,18.9992,0.567746
61,18.9993,0.556315
62,18.9993,0.571006
63,18.9992,0.564782
64,18.9992,0.564354
65,18.9993,0.567666
66,18.9992,0.56548
67,18.9993,0.552968
68,18.9992,0.573104
69,18.9993,0.564466
70,18.9993,0.567605
71,18.9993,0.625827
72,18.9993,0.642987
73,18.9993,0.635353
74,18.9993,0.648658
75,18.9993,0.614669
76,18.9992,0.564688
77,18.9992,0.561425
78,18.9992,0.56163
79,18.9992,0.555844
80,18.9992,0.573723
81,18.9992,0.580434
82,18.9993,0.594902
83,18.9992,0.569218
84,18.9992,0.56463
85,18.9992,0.577225
86,18.9993,0.568532
87,18.9992,0.56327
88,18.9992,0.565338
89,18.9992,0.56462
90,18.9992,0.567934
91,18.9993,0.561477
92,18.9992,0.570363
93,18.9992,0.564881
94,18.9993,0.564574
95,18.9993,0.601591
96,18.9993,0.644239
97,18.9994,0.639662
98,18.9994,0.650274
99,18.9993,0.630429
100,18.9993,0.569363
101,18.9992,0.565171
102,18.9993,0.561291
103,18.9992,0.559787
104,18.9993,0.570259
105,18.9993,0.569139
106,18.9992,0.565112
107,18.9992,0.565492
108,18.9992,0.568802
109,18.9992,0.554018
110,18.9992,0.574048
111,18.9992,0.564632
112,18.9992,0.564588
113,18.9992,0.564682
114,18.9992,0.564513
115,18.9992,0.559662
116,18.9993,0.570185
117,18.9993,0.561144
118,18.9993,0.564674
119,18.9993,0.568482
120,18.9994,0.65907
121,18.9993,0.623522
122,18.9993,0.611544
123,18.9993,0.608116
124,18.9993,0.555343
125,18.9993,0.529721
126,18.9993,0.528198
127,18.9992,0.526364
128,18.9993,0.527691
129,18.9993,0.526808
130,18.9993,0.527132
131,18.9993,0.530265
132,18.9993,0.568834
133,18.9993,0.568498
134,18.9993,0.564149
135,18.9993,0.564101
136,18.9993,0.567928
137,18.9993,0.56079
138,18.9993,0.531103
139,18.9992,0.526403
140,18.9993,0.526729
141,18.9993,0.530176
142,18.9993,0.526415
143,18.9993,0.526546
144,18.9993,0.58244
145,18.9993,0.605097
146,18.9993,0.610997
147,18.9993,0.605701
148,18.9993,0.571327
149,18.9992,0.527062
150,18.9993,0.526757
151,18.9993,0.530165
152,18.9993,0.526548
153,18.9993,0.526393
154,18.9993,0.526203
155,18.9992,0.531044
156,18.9993,0.529635
157,18.9993,0.526232
158,18.9992,0.521429
159,18.9993,0.526269
160,18.9993,0.5265
161,18.9993,0.529785
162,18.9992,0.526388
163,18.9992,0.526363
164,18.9992,0.526366
165,18.9992,0.526105
166,18.9992,0.530135
167,18.9992,0.527647
168,18.9992,0.557612
169,18.9993,0.604864
170,18.9993,0.610263
171,18.9993,0.610255
172,18.9993,0.596076
173,18.9992,0.527465
174,18.9993,0.526186
175,18.9992,0.52599
176,18.9992,0.529208
177,18.9993,0.526784
178,18.9992,0.526438
179,18.9992,0.525894
180,18.9992,0.525994
181,18.9993,0.545578
182,18.9993,0.582139
183,18.9993,0.569842
184,18.9992,0.563791
185,18.9992,0.56388
186,18.9992,0.566999
187,18.9993,0.566706
188,18.9993,0.52991
189,18.9992,0.526388
190,18.9993,0.526377
191,18.9993,0.529674
192,18.9993,0.535113
193,18.9994,0.608158
194,18.9993,0.606285
195,18.9994,0.606384
196,18.9993,0.606614
197,18.9993,0.533629
198,18.9993,0.521935
199,18.9993,0.526368
200,18.9993,0.5207
201,18.9993,0.530074
202,18.9993,0.520731
203,18.9993,0.526456
204,18.9993,0.52619
205,18.9993,0.526139
206,18.9993,0.529631
207,18.9993,0.527084
208,18.9993,0.520984
209,18.9993,0.526197
210,18.9993,0.526198
211,18.9992,0.529415
212,18.9993,0.526557
213,18.9992,0.521078
214,18.9992,0.520581
215,18.9993,0.52611
216,18.9993,0.529504
217,18.9993,0.602243
218,18.9993,0.60456
219,18.9993,0.610638
220,18.9993,0.604244
221,18.9993,0.558119
222,18.9993,0.526884
223,18.9993,0.520834
224,18.9993,0.526446
225,18.9993,0.520322
226,18.9993,0.52387
227,18.9993,0.527125
228,18.9993,0.52637
229,18.9993,0.526199
230,18.9993,0.526036
231,18.9993,0.52954
232,18.9993,0.570714
233,18.9993,0.570369
234,18.9993,0.564106
235,18.9993,0.564022
236,18.9993,0.567647
237,18.9993,0.560089
238,18.9992,0.524019
239,18.9993,0.526383
240,18.9993,0.52652
241,18.9993,0.578045
242,18.9993,0.604304
243,18.9993,0.608928
244,18.9993,0.605802
245,18.9993,0.573814
246,18.9993,0.527507
247,18.9993,0.529911
248,18.9993,0.521547
249,18.9992,0.520741
250,18.9993,0.520812
251,18.9993,0.526958
252,18.9993,0.524355
253,18.9992,0.526719
254,18.9993,0.526467
255,18.9993,0.526528
256,18.9992,0.526418
257,18.9993,0.530457
258,18.9993,0.527143
259,18.9993,0.520645
260,18.9993,0.526403
261,18.9993,0.526455
262,18.9993,0.529945
263,18.9993,0.52635
264,18.9993,0.526368
265,18.9993,0.555548
266,18.9993,0.604523
267,18.9993,0.610288
268,18.9993,0.607763
269,18.9993,0.596116
270,18.9993,0.521313
271,18.9993,0.526533
272,18.9993,0.534696
273,18.9993,0.522842
274,18.9993,0.5275
275,18.9993,0.527076
276,18.9993,0.527012
277,18.9993,0.536574
278,18.9993,0.528617
279,18.9993,0.527375
280,18.9993,0.527403
281,18.9993,0.541445
282,18.9993,0.588737
283,18.9993,0.570131
284,18.9993,0.564125
285,18.9993,0.563937
286,18.9993,0.563923
287,18.9993,0.567177
288,18.9993,0.521732
289,18.9993,0.536752
290,18.9994,0.606443
291,18.9994,0.604995
292,18.9994,0.612558
293,18.9994,0.60381
294,18.9994,0.532205
295,18.9993,0.526579
296,18.9994,0.526333
297,18.9993,0.526613
298,18.9993,0.530208
299,18.9993,0.526587
300,18.9993,0.520766
301,18.9993,0.526547
302,18.9994,0.521034
303,18.9994,0.529929
304,18.9994,0.526326
305,18.9993,0.520265
306,18.9993,0.526307
307,18.9993,0.519999
308,18.9993,0.530866
309,18.9992,0.515134
310,18.9993,0.526366
311,18.9993,0.526508
312,18.9993,0.526294
313,18.9993,0.524405
314,18.9993,0.59838
315,18.9993,0.604027
316,18.9993,0.610326
317,18.9993,0.603023
