N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 211"

Sample,"Volt avg 1","Curr avg 1"
1,18.9995,0.506542
2,18.9995,0.512329
3,18.9995,0.48147
4,18.9994,0.369975
5,18.9994,0.369276
6,18.9994,0.370489
7,18.9994,0.37913
8,18.9994,0.483196
9,18.9995,0.568377
10,18.9995,0.552482
11,18.9995,0.566378
12,18.9995,0.563914
13,18.9994,0.553716
14,18.9995,0.560362
15,18.9994,0.564403
16,18.9994,0.555942
17,18.9995,0.57115
18,18.9995,0.550611
19,18.9994,0.496574
20,18.9994,0.478068
21,18.9994,0.553865
22,18.9995,0.582142
23,18.9994,0.557916
24,18.9995,0.668224
25,18.9995,0.645388
26,18.9995,0.648066
27,18.9995,0.636441
28,18.9994,0.559038
29,18.9994,0.551823
30,18.9995,0.543764
31,18.9995,0.538944
32,18.9994,0.533283
33,18.9994,0.528511
34,18.9995,0.536804
35,18.9994,0.53997
36,18.9994,0.539773
37,18.9995,0.540295
38,18.9995,0.542431
39,18.9995,0.554944
40,18.9995,0.616387
41,18.9996,0.747625
42,18.9996,0.755761
43,18.9996,0.754583
44,18.9996,0.750293
45,18.9996,0.756951
46,18.9994,0.55442
47,18.9994,0.474686
48,18.9994,0.51489
49,18.9994,0.532951
50,18.9995,0.541502
51,18.9995,0.570214
52,18.9995,0.531438
53,18.9994,0.476852
54,18.9994,0.475125
55,18.9995,0.701539
56,18.9997,0.793631
57,18.9997,0.802968
58,18.9997,0.806025
59,18.9997,0.817414
60,18.9996,0.785634
61,18.9996,0.761206
62,18.9996,0.752525
63,18.9996,0.754846
64,18.9996,0.754699
65,18.9996,0.755002
66,18.9997,0.756894
67,18.9996,0.783911
68,18.9996,0.745172
69,18.9997,0.751317
70,18.9996,0.750562
71,18.9996,0.747214
72,18.9996,0.779012
73,18.9997,0.848518
74,18.9997,0.846296
75,18.9997,0.849
76,18.9997,0.81981
77,18.9996,0.761528
78,18.9996,0.785872
79,18.9997,0.76862
80,18.9996,0.770072
81,18.9996,0.770268
82,18.9996,0.785679
83,18.9996,0.785969
84,18.9996,0.787144
85,18.9997,0.786081
86,18.9996,0.781978
87,18.9997,0.786031
88,18.9996,0.785765
89,18.9996,0.777495
90,18.9996,0.754301
91,18.9996,0.754684
92,18.9996,0.751439
93,18.9996,0.753374
94,18.9996,0.75108
95,18.9996,0.75188
96,18.9996,0.770195
97,18.9996,0.844885
98,18.9996,0.855692
99,18.9997,0.84897
100,18.9996,0.819664
101,18.9996,0.752658
102,18.9996,0.753287
103,18.9995,0.751978
104,18.9996,0.745492
105,18.9996,0.752139
106,18.9996,0.75091
107,18.9995,0.745837
108,18.9996,0.748379
109,18.9996,0.75271
110,18.9996,0.746842
111,18.9996,0.753673
112,18.9996,0.746882
113,18.9996,0.753408
114,18.9996,0.765025
115,18.9996,0.75434
116,18.9996,0.747193
117,18.9997,0.76921
118,18.9996,0.763234
119,18.9996,0.770836
120,18.9996,0.768707
121,18.9997,0.858019
122,18.9995,0.66888
123,18.9995,0.663274
124,18.9996,0.640793
125,18.9995,0.581842
126,18.9995,0.577212
127,18.9995,0.570391
128,18.9995,0.568683
129,18.9995,0.570624
130,18.9996,0.697678
131,18.9996,0.730966
132,18.9996,0.787319
133,18.9996,0.769826
134,18.9996,0.777386
135,18.9996,0.769871
136,18.9996,0.786941
137,18.9996,0.788285
138,18.9996,0.792051
139,18.9996,0.786558
140,18.9996,0.770373
141,18.9997,0.787454
142,18.9997,0.771077
143,18.9996,0.755269
144,18.9996,0.754712
145,18.9997,0.83081
146,18.9997,0.851279
147,18.9997,0.854223
148,18.9997,0.845439
149,18.9996,0.77016
150,18.9996,0.754945
151,18.9996,0.754909
152,18.9996,0.759096
153,18.9996,0.747529
154,18.9996,0.75267
155,18.9996,0.754481
156,18.9996,0.75761
157,18.9996,0.691997
158,18.9996,0.658447
159,18.9997,0.753776
160,18.9996,0.751284
161,18.9996,0.75578
162,18.9996,0.780373
163,18.9996,0.754231
164,18.9996,0.771102
165,18.9996,0.771405
166,18.9995,0.693103
167,18.9996,0.783006
168,18.9996,0.729358
169,18.9997,0.843874
170,18.9997,0.86364
171,18.9998,0.873578
172,18.9997,0.859659
173,18.9997,0.813887
174,18.9997,0.787041
175,18.9997,0.786989
176,18.9997,0.787003
177,18.9997,0.771558
178,18.9997,0.778318
179,18.9997,0.771182
180,18.9997,0.753824
181,18.9997,0.753798
182,18.9996,0.752678
183,18.9997,0.767349
184,18.9997,0.754152
185,18.9997,0.753378
186,18.9997,0.754282
187,18.9997,0.756229
