N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 94"

Sample,"Volt avg 1","Curr avg 1"
4,18.9993,0.384032
5,18.9993,0.370238
6,18.9993,0.372494
7,18.9994,0.463721
8,18.9994,0.510875
9,18.9994,0.515686
10,18.9994,0.509169
11,18.9993,0.419363
12,18.9993,0.367102
13,18.9993,0.372867
14,18.9993,0.367363
15,18.9993,0.367287
16,18.9994,0.530336
17,18.9994,0.563486
18,18.9995,0.549447
19,18.9994,0.541687
20,18.9994,0.552372
21,18.9994,0.544311
22,18.9994,0.551241
23,18.9994,0.545426
24,18.9994,0.549446
25,18.9994,0.591736
26,18.9994,0.538156
27,18.9993,0.493398
28,18.9993,0.480124
29,18.9993,0.525804
30,18.9994,0.559049
31,18.9994,0.600394
32,18.9994,0.644611
33,18.9995,0.643875
34,18.9994,0.639616
35,18.9994,0.59722
36,18.9994,0.546374
37,18.9993,0.533243
38,18.9994,0.533937
39,18.9994,0.523415
40,18.9994,0.544571
41,18.9994,0.529527
42,18.9994,0.543261
43,18.9994,0.537172
44,18.9994,0.530209
45,18.9994,0.531568
46,18.9994,0.545494
47,18.9994,0.572288
48,18.9994,0.602456
49,18.9995,0.743374
50,18.9995,0.751299
51,18.9995,0.751327
52,18.9995,0.742526
53,18.9995,0.750899
54,18.9995,0.762652
55,18.9995,0.795403
56,18.9996,0.857661
57,18.9996,0.84977
58,18.9996,0.849168
59,18.9995,0.806997
60,18.9995,0.756007
61,18.9995,0.767566
62,18.9995,0.768397
63,18.9996,0.751679
64,18.9996,0.750768
65,18.9995,0.763061
66,18.9995,0.74543
67,18.9996,0.782405
68,18.9995,0.766493
69,18.9995,0.750157
70,18.9995,0.746699
71,18.9995,0.767995
72,18.9995,0.752536
73,18.9995,0.766987
74,18.9995,0.774668
75,18.9995,0.776093
76,18.9995,0.749289
77,18.9995,0.760531
78,18.9995,0.753265
79,18.9996,0.806003
80,18.9996,0.866166
81,18.9996,0.870029
82,18.9996,0.868442
83,18.9996,0.847063
84,18.9995,0.788583
85,18.9996,0.781469
86,18.9995,0.782145
87,18.9995,0.782489
88,18.9995,0.777423
89,18.9995,0.783263
90,18.9995,0.781403
91,18.9996,0.781834
92,18.9995,0.781819
93,18.9995,0.78239
94,18.9996,0.778193
95,18.9995,0.782073
96,18.9995,0.783154
97,18.9996,0.782587
98,18.9996,0.782627
99,18.9995,0.677387
100,18.9994,0.535847
101,18.9994,0.506773
102,18.9994,0.522047
103,18.9994,0.489849
104,18.9994,0.529122
105,18.9994,0.537349
106,18.9994,0.549153
107,18.9994,0.530374
108,18.9993,0.5312
109,18.9993,0.540671
110,18.9994,0.616787
111,18.9994,0.59752
112,18.9994,0.602475
113,18.9994,0.618537
114,18.9994,0.593192
115,18.9994,0.584567
116,18.9994,0.581529
117,18.9993,0.5777
118,18.9994,0.583998
119,18.9994,0.580444
120,18.9994,0.577623
121,18.9994,0.577212
122,18.9994,0.577623
123,18.9994,0.576448
124,18.9994,0.584805
125,18.9994,0.632132
126,18.9994,0.578582
127,18.9994,0.57675
128,18.9994,0.608011
129,18.9995,0.655391
130,18.9994,0.661528
131,18.9994,0.660149
132,18.9994,0.656689
133,18.9993,0.593276
134,18.9994,0.580975
135,18.9994,0.577456
136,18.9994,0.576487
137,18.9994,0.576485
138,18.9994,0.576798
139,18.9994,0.57937
140,18.9994,0.575758
141,18.9994,0.577044
142,18.9993,0.576395
143,18.9994,0.576675
144,18.9994,0.579765
145,18.9994,0.577728
146,18.9994,0.577134
147,18.9994,0.577229
148,18.9994,0.57684
149,18.9994,0.577501
