N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 15"

Sample,"Volt avg 1","Curr avg 1"
5,18.9995,0.583733
6,18.9995,0.545528
7,18.9995,0.549534
8,18.9995,0.569511
9,18.9995,0.600561
10,18.9996,0.598835
11,18.9995,0.598696
12,18.9995,0.596531
13,18.9995,0.593754
14,18.9995,0.593923
15,18.9996,0.591021
16,18.9995,0.552021
17,18.9996,0.606923
18,18.9995,0.590624
19,18.9994,0.594118
20,18.9995,0.627942
21,18.9996,0.673911
22,18.9996,0.655048
23,18.9996,0.688989
24,18.9996,0.666865
25,18.9996,0.589261
26,18.9996,0.594299
27,18.9996,0.597912
28,18.9995,0.573267
29,18.9996,0.609039
30,18.9996,0.635514
31,18.9996,0.612493
32,18.9996,0.59778
33,18.9995,0.59399
34,18.9996,0.597868
35,18.9996,0.600102
36,18.9995,0.593939
37,18.9995,0.590698
38,18.9995,0.59401
39,18.9995,0.593778
40,18.9995,0.567963
41,18.9995,0.609397
42,18.9995,0.596874
43,18.9995,0.593743
44,18.9995,0.599721
45,18.9996,0.670092
46,18.9996,0.64723
47,18.9996,0.697393
48,18.9996,0.673817
49,18.9995,0.611234
50,18.9995,0.591878
51,18.9995,0.590194
52,18.9995,0.57398
53,18.9995,0.608597
54,18.9995,0.595698
55,18.9995,0.594843
56,18.9995,0.593945
57,18.9995,0.596905
58,18.9995,0.574171
59,18.9995,0.606337
60,18.9995,0.597544
61,18.9995,0.595738
62,18.9995,0.594091
63,18.9995,0.59758
64,18.9995,0.578471
65,18.9996,0.602047
66,18.9995,0.588047
67,18.9995,0.593936
68,18.9995,0.597159
69,18.9994,0.651608
70,18.9995,0.654782
71,18.9995,0.68974
72,18.9995,0.674104
73,18.9995,0.650784
74,18.9995,0.595004
75,18.9995,0.597234
76,18.9994,0.574489
77,18.9995,0.606041
78,18.9995,0.59778
79,18.9995,0.593983
80,18.9994,0.606399
81,18.9995,0.606408
82,18.9994,0.593447
83,18.9995,0.60569
84,18.9995,0.590664
85,18.9995,0.586299
86,18.9995,0.594399
87,18.9995,0.593979
88,18.9994,0.574176
89,18.9994,0.606538
90,18.9994,0.595673
91,18.9994,0.59401
92,18.9995,0.594205
93,18.9995,0.625932
94,18.9995,0.660056
95,18.9995,0.674114
96,18.9995,0.679749
97,18.9995,0.672467
98,18.9995,0.605092
99,18.9994,0.594958
100,18.9994,0.594656
101,18.9995,0.604903
102,18.9994,0.594248
103,18.9994,0.597368
104,18.9994,0.596455
105,18.9994,0.597043
106,18.9994,0.570592
107,18.9995,0.603387
108,18.9994,0.598723
109,18.9994,0.594243
110,18.9994,0.5943
111,18.9994,0.59419
112,18.9994,0.577305
113,18.9994,0.606129
114,18.9994,0.595563
115,18.9994,0.58754
116,18.9994,0.591394
117,18.9994,0.591118
118,18.9995,0.635695
119,18.9994,0.63562
120,18.9994,0.632336
121,18.9994,0.639308
122,18.9994,0.595069
123,18.9994,0.554911
124,18.9994,0.558546
125,18.9994,0.558658
126,18.9994,0.557809
127,18.9994,0.557624
128,18.9995,0.561385
129,18.9995,0.558023
130,18.9995,0.590315
131,18.9995,0.613759
132,18.9995,0.595652
133,18.9995,0.597883
134,18.9995,0.59484
135,18.9995,0.597152
136,18.9995,0.580669
137,18.9994,0.557709
138,18.9994,0.56082
139,18.9994,0.558015
140,18.9994,0.558092
141,18.9995,0.557763
142,18.9995,0.590119
143,18.9995,0.641623
144,18.9995,0.640585
145,18.9995,0.644299
146,18.9995,0.631802
147,18.9995,0.549875
148,18.9995,0.560876
149,18.9995,0.557811
150,18.9995,0.557082
151,18.9995,0.556718
152,18.9995,0.557407
153,18.9995,0.551468
154,18.9995,0.556467
155,18.9995,0.546857
156,18.9995,0.555013
157,18.9995,0.555942
158,18.9995,0.559856
159,18.9995,0.557474
160,18.9995,0.55766
161,18.9994,0.497879
162,18.9994,0.462186
163,18.9994,0.458754
164,18.9994,0.45764
165,18.9994,0.458984
166,18.9994,0.462078
167,18.9995,0.551298
168,18.9995,0.550713
169,18.9995,0.541174
170,18.9995,0.5366
171,18.9994,0.41762
172,18.9994,0.40246
173,18.9994,0.444845
174,18.9994,0.461916
175,18.9994,0.445265
176,18.9994,0.414221
177,18.9994,0.41403
178,18.9994,0.410545
179,18.9994,0.439048
180,18.9993,0.451127
181,18.9994,0.446423
182,18.9993,0.414065
183,18.9994,0.41401
184,18.9994,0.415187
185,18.9994,0.42334
186,18.9994,0.415336
187,18.9994,0.414064
188,18.9993,0.413949
189,18.9994,0.415284
190,18.9994,0.398484
191,18.9994,0.53463
192,18.9994,0.547024
193,18.9994,0.547958
194,18.9995,0.541126
195,18.9994,0.426162
196,18.9994,0.41068
197,18.9994,0.440043
198,18.9994,0.455201
199,18.9994,0.415271
200,18.9994,0.414045
201,18.9994,0.414007
202,18.9993,0.409908
203,18.9993,0.434658
204,18.9994,0.457131
