N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 6"

Sample,"Volt avg 1","Curr avg 1"
1,18.9994,0.365603
2,18.9994,0.365019
3,18.9993,0.364723
4,18.9993,0.364603
5,18.9993,0.36462
6,18.9993,0.419173
7,18.9994,0.502976
8,18.9995,0.51426
9,18.9995,0.553683
10,18.9994,0.507562
11,18.9994,0.416805
12,18.9994,0.416009
13,18.9994,0.415256
14,18.9994,0.420159
15,18.9993,0.364722
16,18.9994,0.365889
17,18.9994,0.364784
18,18.9994,0.364786
19,18.9993,0.364694
20,18.9994,0.364655
21,18.9994,0.365335
22,18.9994,0.36505
23,18.9994,0.366768
24,18.9994,0.366737
25,18.9994,0.368871
26,18.9994,0.365681
27,18.9993,0.364885
28,18.9994,0.364617
29,18.9993,0.393237
30,18.9994,0.497533
31,18.9995,0.548526
32,18.9995,0.539618
33,18.9995,0.561238
34,18.9995,0.52895
35,18.9995,0.419377
36,18.9994,0.366737
37,18.9994,0.365555
38,18.9994,0.36466
39,18.9994,0.364586
40,18.9994,0.364714
41,18.9994,0.365729
42,18.9994,0.364994
43,18.9993,0.36467
44,18.9994,0.364516
45,18.9994,0.364601
46,18.9994,0.365475
47,18.9994,0.437727
48,18.9994,0.446994
49,18.9994,0.42497
50,18.9994,0.415277
51,18.9994,0.415938
52,18.9994,0.415575
53,18.9994,0.44224
54,18.9994,0.440781
55,18.9995,0.664613
56,18.9995,0.645202
57,18.9995,0.634839
58,18.9995,0.629049
59,18.9994,0.56923
60,18.9994,0.477453
61,18.9994,0.441303
62,18.9994,0.428541
63,18.9993,0.42708
64,18.9994,0.427049
65,18.9994,0.427003
66,18.9994,0.400088
67,18.9994,0.4667
68,18.9994,0.428683
69,18.9993,0.421236
70,18.9994,0.421185
71,18.9994,0.421208
72,18.9994,0.414132
73,18.9994,0.45933
74,18.9994,0.461138
75,18.9994,0.416001
76,18.9994,0.415442
77,18.9994,0.416492
78,18.9993,0.395295
79,18.9995,0.548464
80,18.9995,0.57277
81,18.9995,0.54929
82,18.9995,0.554745
83,18.9994,0.435638
84,18.9994,0.415451
85,18.9994,0.43701
86,18.9994,0.417095
87,18.9993,0.416504
88,18.9993,0.41565
89,18.9994,0.415348
90,18.9994,0.403218
91,18.9994,0.452807
92,18.9994,0.431545
93,18.9994,0.415247
94,18.9994,0.419914
95,18.9994,0.4152
96,18.9994,0.407084
97,18.9994,0.446595
98,18.9994,0.418191
99,18.9994,0.415318
100,18.9994,0.415258
