N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 300"

Sample,"Volt avg 1","Curr avg 1"
0,18.9992,0.453769
1,18.9992,0.420827
2,18.9992,0.422312
3,18.9992,0.420977
4,18.9992,0.420769
5,18.9992,0.386023
6,18.9992,0.369493
7,18.9992,0.371244
8,18.9992,0.466608
9,18.9993,0.616416
10,18.9993,0.562548
11,18.9993,0.56166
12,18.9993,0.558154
13,18.9994,0.562191
14,18.9994,0.563949
15,18.9994,0.632678
16,18.9994,0.646367
17,18.9994,0.666355
18,18.9995,0.6633
19,18.9994,0.591424
20,18.9993,0.578874
21,18.9993,0.591209
22,18.9994,0.579336
23,18.9994,0.578096
24,18.9994,0.581203
25,18.9993,0.566975
26,18.9993,0.548879
27,18.9993,0.573046
28,18.9993,0.577781
29,18.9993,0.572159
30,18.9993,0.560411
31,18.9993,0.552502
32,18.9992,0.557719
33,18.9993,0.559367
34,18.9993,0.552085
35,18.9993,0.55373
36,18.9993,0.551914
37,18.9993,0.553799
38,18.9993,0.534821
39,18.9994,0.617082
40,18.9994,0.631646
41,18.9993,0.635423
42,18.9993,0.631359
43,18.9993,0.596563
44,18.9992,0.541368
45,18.9993,0.565087
46,18.9993,0.552341
47,18.9993,0.549722
48,18.9992,0.555377
49,18.9993,0.551647
50,18.9993,0.535881
51,18.9993,0.565047
52,18.9993,0.551843
53,18.9993,0.555256
54,18.9992,0.557127
55,18.9992,0.552125
56,18.9992,0.535402
57,18.9992,0.566731
58,18.9992,0.551644
59,18.9992,0.582024
60,18.9993,0.55417
61,18.9992,0.552407
62,18.9992,0.559756
63,18.9993,0.588067
64,18.9993,0.632142
65,18.9993,0.633685
66,18.9993,0.626949
67,18.9993,0.623609
68,18.9992,0.543369
69,18.9992,0.567012
70,18.9992,0.552059
71,18.9992,0.54916
72,18.9992,0.551944
73,18.9992,0.55799
74,18.9992,0.539281
75,18.9992,0.566594
76,18.9992,0.552056
77,18.9993,0.549502
78,18.9992,0.553806
79,18.9992,0.548975
80,18.9992,0.528493
81,18.9992,0.565701
82,18.9992,0.552311
83,18.9992,0.550874
84,18.9992,0.557955
85,18.9992,0.552541
86,18.9992,0.531279
87,18.9992,0.564923
88,18.9993,0.64578
89,18.9993,0.632397
90,18.9993,0.635641
91,18.9993,0.630313
92,18.9992,0.543503
93,18.9992,0.569907
94,18.9992,0.552408
95,18.9992,0.552398
96,18.9993,0.552391
