N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 255"

Sample,"Volt avg 1","Curr avg 1"
0,18.9993,0.369521
1,18.9993,0.369292
2,18.9993,0.37619
3,18.9992,0.375784
4,18.9993,0.372567
5,18.9992,0.394237
6,18.9993,0.514774
7,18.9994,0.60876
8,18.9994,0.656287
9,18.9994,0.639691
10,18.9993,0.551976
11,18.9993,0.547766
12,18.9993,0.555457
13,18.9993,0.553382
14,18.9993,0.54731
15,18.9993,0.54906
16,18.9993,0.552195
17,18.9993,0.552765
18,18.9993,0.476992
19,18.9993,0.47958
20,18.9993,0.490333
21,18.9993,0.448671
22,18.9993,0.541246
23,18.9994,0.592756
24,18.9993,0.549933
25,18.9994,0.556373
26,18.9994,0.561118
27,18.9993,0.543778
28,18.9993,0.553525
29,18.9994,0.543799
30,18.9994,0.631848
31,18.9994,0.643532
32,18.9995,0.627068
33,18.9995,0.629474
34,18.9994,0.619388
35,18.9994,0.546514
36,18.9994,0.541581
37,18.9994,0.54366
38,18.9994,0.549934
39,18.9993,0.546677
40,18.9994,0.645777
41,18.9995,0.753258
42,18.9995,0.76103
43,18.9995,0.750642
44,18.9995,0.752726
45,18.9995,0.755268
46,18.9994,0.562414
47,18.9993,0.482396
48,18.9993,0.479307
49,18.9993,0.482221
50,18.9993,0.480616
51,18.9993,0.478569
52,18.9994,0.481287
53,18.9994,0.479453
54,18.9994,0.485192
55,18.9995,0.790302
56,18.9996,0.895441
57,18.9997,0.908914
58,18.9996,0.891365
59,18.9995,0.845288
60,18.9995,0.791425
61,18.9995,0.760977
62,18.9995,0.750996
63,18.9995,0.748156
64,18.9994,0.76125
65,18.9995,0.746032
66,18.9995,0.751987
67,18.9995,0.752713
68,18.9995,0.75494
69,18.9995,0.749381
70,18.9995,0.750971
71,18.9995,0.751391
72,18.9995,0.748113
73,18.9995,0.753776
74,18.9995,0.750582
75,18.9995,0.742657
76,18.9994,0.755419
77,18.9994,0.755827
78,18.9994,0.764211
79,18.9995,0.842748
80,18.9996,0.854565
81,18.9995,0.877171
82,18.9995,0.858439
83,18.9995,0.813643
84,18.9995,0.771114
85,18.9995,0.780006
86,18.9995,0.787687
87,18.9995,0.787472
88,18.9995,0.785931
89,18.9995,0.785458
90,18.9995,0.785503
91,18.9995,0.80005
92,18.9995,0.751856
93,18.9995,0.751646
94,18.9995,0.733135
95,18.9995,0.752861
96,18.9995,0.753618
97,18.9995,0.754795
98,18.9995,0.754276
99,18.9995,0.751992
100,18.9995,0.75276
101,18.9994,0.753839
102,18.9995,0.754612
103,18.9995,0.801507
104,18.9996,0.846503
105,18.9996,0.852129
106,18.9996,0.839977
107,18.9995,0.814475
108,18.9995,0.753909
109,18.9995,0.755748
110,18.9994,0.755908
111,18.9995,0.755918
112,18.9995,0.754225
113,18.9995,0.746506
114,18.9995,0.755101
115,18.9995,0.763925
116,18.9995,0.754543
117,18.9995,0.754864
118,18.9995,0.756427
119,18.9995,0.759553
120,18.9994,0.754661
121,18.9994,0.763488
122,18.9994,0.752141
123,18.9994,0.669131
124,18.9993,0.589255
125,18.9993,0.57266
126,18.9993,0.575452
127,18.9993,0.601711
128,18.9994,0.65837
129,18.9994,0.648518
130,18.9994,0.638765
131,18.9994,0.766591
132,18.9994,0.715822
133,18.9995,0.786136
134,18.9995,0.764274
135,18.9995,0.774135
136,18.9995,0.765451
137,18.9995,0.788952
138,18.9995,0.786636
139,18.9995,0.785969
140,18.9995,0.78593
141,18.9995,0.798642
142,18.9995,0.772119
143,18.9995,0.770792
144,18.9995,0.763961
145,18.9995,0.747827
146,18.9995,0.756852
147,18.9995,0.762685
148,18.9995,0.763187
149,18.9995,0.753825
150,18.9995,0.749676
151,18.9995,0.755055
152,18.9996,0.825423
153,18.9996,0.844834
154,18.9996,0.847448
155,18.9996,0.839312
156,18.9996,0.780277
157,18.9995,0.745986
158,18.9994,0.716845
159,18.9994,0.711807
160,18.9994,0.714349
161,18.9995,0.758967
162,18.9995,0.748612
163,18.9995,0.747934
164,18.9995,0.755125
165,18.9995,0.767471
166,18.9995,0.770568
167,18.9994,0.761733
168,18.9994,0.665495
169,18.9994,0.665421
170,18.9995,0.787207
171,18.9995,0.770985
172,18.9995,0.778498
173,18.9995,0.760872
174,18.9995,0.78712
175,18.9995,0.785955
176,18.9996,0.839318
177,18.9996,0.871973
178,18.9996,0.879165
179,18.9995,0.858767
180,18.9995,0.808717
181,18.9995,0.765283
182,18.9995,0.75377
183,18.9994,0.748708
184,18.9994,0.764105
185,18.9994,0.763259
186,18.9995,0.75668
187,18.9994,0.752578
188,18.9995,0.750752
189,18.9995,0.752535
190,18.9995,0.7548
191,18.9994,0.81402
192,18.9995,0.780597
193,18.9994,0.750738
194,18.9995,0.761704
195,18.9994,0.766792
196,18.9995,0.756808
197,18.9995,0.781422
198,18.9994,0.771744
199,18.9994,0.753533
200,18.9995,0.805991
201,18.9995,0.859231
202,18.9995,0.854994
203,18.9995,0.865077
204,18.9995,0.794302
205,18.9995,0.780966
206,18.9995,0.785957
207,18.9995,0.787524
208,18.9995,0.786427
209,18.9995,0.787596
210,18.9995,0.785066
211,18.9995,0.786312
212,18.9994,0.782962
213,18.9995,0.784031
214,18.9994,0.786425
215,18.9994,0.78625
216,18.9995,0.787143
217,18.9995,0.7875
218,18.9995,0.784805
219,18.9995,0.787041
220,18.9995,0.786385
221,18.9995,0.786122
222,18.9995,0.791589
223,18.9995,0.787315
224,18.9995,0.830116
225,18.9995,0.870314
226,18.9995,0.880514
227,18.9995,0.876757
228,18.9995,0.827887
229,18.9994,0.785826
230,18.9994,0.786402
231,18.9995,0.786404
232,18.9994,0.785625
233,18.9994,0.774747
234,18.9995,0.772273
235,18.9995,0.786153
236,18.9995,0.786327
237,18.9995,0.787907
238,18.9994,0.77485
239,18.9994,0.761532
240,18.9995,0.787363
241,18.9994,0.795999
242,18.9995,0.789901
243,18.9994,0.786916
244,18.9995,0.776569
245,18.9995,0.77585
246,18.9995,0.781896
247,18.9995,0.788514
248,18.9995,0.827528
249,18.9995,0.876976
250,18.9995,0.872383
251,18.9995,0.872211
252,18.9995,0.835497
253,18.9995,0.787031
254,18.9995,0.787802
255,18.9994,0.774208
256,18.9995,0.788638
257,18.9994,0.790416
258,18.9994,0.789025
259,18.9994,0.786057
260,18.9994,0.778989
261,18.9994,0.787362
262,18.9994,0.787825
263,18.9994,0.787133
264,18.9994,0.789352
265,18.9994,0.787555
266,18.9994,0.786723
267,18.9994,0.787511
268,18.9994,0.787322
269,18.9994,0.787414
270,18.9994,0.787614
271,18.9994,0.786772
272,18.9994,0.824152
273,18.9994,0.873415
274,18.9995,0.875903
275,18.9995,0.87429
276,18.9995,0.846288
277,18.9994,0.789475
278,18.9994,0.78791
279,18.9994,0.786719
280,18.9994,0.787088
281,18.9994,0.787618
282,18.9994,0.788185
283,18.9994,0.787
284,18.9995,0.78777
285,18.9994,0.78658
286,18.9994,0.789192
287,18.9994,0.790017
288,18.9994,0.786215
289,18.9994,0.786736
290,18.9993,0.787322
291,18.9994,0.826407
292,18.9993,0.789085
293,18.9993,0.787986
294,18.9994,0.78671
295,18.9994,0.78655
296,18.9994,0.813039
297,18.9994,0.87432
298,18.9994,0.875023
299,18.9994,0.873153
300,18.9994,0.843025
301,18.9994,0.787141
302,18.9994,0.787183
303,18.9994,0.789381
304,18.9994,0.786682
305,18.9994,0.787078
306,18.9994,0.787158
307,18.9994,0.719118
308,18.9994,0.625089
309,18.9993,0.539441
310,18.9992,0.526734
311,18.9992,0.480291
312,18.9992,0.479723
313,18.9992,0.479414
314,18.9992,0.484456
315,18.9992,0.476733
316,18.9992,0.485148
317,18.9992,0.550574
318,18.9993,0.586281
319,18.9993,0.620287
320,18.9993,0.613872
321,18.9994,0.666385
322,18.9993,0.67024
323,18.9994,0.668748
324,18.9993,0.595722
325,18.9993,0.539449
326,18.9993,0.549905
327,18.9993,0.542005
328,18.9993,0.542898
329,18.9993,0.54083
330,18.9993,0.541064
331,18.9993,0.506214
332,18.9993,0.551149
333,18.9993,0.565862
334,18.9993,0.538768
335,18.9993,0.539763
336,18.9993,0.529393
337,18.9993,0.519115
338,18.9993,0.545621
339,18.9993,0.537787
340,18.9993,0.529587
341,18.9993,0.5459
342,18.9993,0.540844
343,18.9993,0.53486
344,18.9994,0.569692
345,18.9994,0.612116
346,18.9994,0.614537
347,18.9994,0.610984
348,18.9994,0.582974
349,18.9993,0.501271
350,18.9993,0.547019
351,18.9993,0.532927
352,18.9993,0.527669
353,18.9993,0.530481
354,18.9993,0.525224
355,18.9993,0.508368
356,18.9993,0.53707
357,18.9993,0.529516
358,18.9993,0.559979
359,18.9993,0.605835
360,18.9993,0.608533
361,18.9993,0.591235
362,18.9993,0.592656
363,18.9993,0.592563
364,18.9993,0.587974
365,18.9993,0.586757
366,18.9993,0.588154
367,18.9993,0.585357
368,18.9993,0.624292
369,18.9994,0.673326
370,18.9994,0.676719
371,18.9993,0.675351
372,18.9994,0.655412
373,18.9993,0.590508
374,18.9993,0.588867
375,18.9993,0.581845
376,18.9993,0.587693
377,18.9993,0.5837
378,18.9993,0.583645
379,18.9993,0.585231
380,18.9993,0.585408
