N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 18"

Sample,"Volt avg 1","Curr avg 1"
3,18.9992,0.36673
4,18.9992,0.396252
5,18.9993,0.468017
6,18.9993,0.417974
7,18.9993,0.426648
8,18.9993,0.41751
9,18.9993,0.417862
10,18.9993,0.498758
11,18.9993,0.57576
12,18.9993,0.555692
13,18.9993,0.551713
14,18.9994,0.598386
15,18.9994,0.639075
16,18.9994,0.634585
17,18.9994,0.639752
18,18.9994,0.588415
19,18.9994,0.552358
20,18.9994,0.578439
21,18.9993,0.563189
22,18.9993,0.560823
23,18.9993,0.566599
24,18.9994,0.562801
25,18.9993,0.567251
26,18.9994,0.614523
27,18.9994,0.590608
28,18.9993,0.576481
29,18.9993,0.586058
30,18.9994,0.587079
31,18.9994,0.599469
32,18.9994,0.602733
33,18.9994,0.596819
34,18.9994,0.598287
35,18.9994,0.604682
36,18.9994,0.596731
37,18.9994,0.594866
38,18.9994,0.643578
39,18.9994,0.674001
40,18.9994,0.657017
41,18.9995,0.686269
42,18.9994,0.676408
43,18.9994,0.600117
44,18.9994,0.598299
45,18.9994,0.602417
46,18.9994,0.586564
47,18.9994,0.602767
48,18.9994,0.597405
49,18.9994,0.592135
50,18.9994,0.600674
51,18.9994,0.600386
52,18.9994,0.591129
53,18.9994,0.603038
54,18.9994,0.592024
55,18.9994,0.595405
56,18.9994,0.59761
57,18.9994,0.592052
58,18.9994,0.583307
59,18.9994,0.603732
60,18.9994,0.600451
61,18.9994,0.597447
62,18.9994,0.59722
63,18.9995,0.671315
64,18.9995,0.658487
65,18.9994,0.683081
66,18.9994,0.680679
67,18.9995,0.662054
68,18.9994,0.59227
69,18.9994,0.598554
70,18.9994,0.587646
71,18.9994,0.604767
72,18.9995,0.597601
73,18.9995,0.595897
74,18.9994,0.596258
75,18.9994,0.596247
76,18.9994,0.570583
77,18.9994,0.631391
78,18.9994,0.599049
79,18.9993,0.605019
80,18.9994,0.596005
81,18.9994,0.593857
82,18.9994,0.601558
83,18.9994,0.605967
84,18.9993,0.59786
85,18.9994,0.597956
86,18.9994,0.600153
87,18.9994,0.60973
88,18.9995,0.665085
89,18.9995,0.682856
90,18.9995,0.683465
91,18.9995,0.676335
92,18.9995,0.621486
93,18.9994,0.598114
