N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 240"

Sample,"Volt avg 1","Curr avg 1"
0,18.9999,0.41346
1,18.9999,0.480989
2,19,0.555393
3,19,0.551308
4,19,0.537447
5,18.9999,0.46171
6,18.9999,0.414549
7,18.9999,0.413599
8,19,0.422386
9,18.9999,0.413499
10,18.9999,0.41357
11,18.9999,0.414192
12,18.9999,0.421862
13,18.9999,0.450336
14,18.9999,0.420995
15,18.9999,0.413572
16,18.9999,0.413644
17,18.9999,0.414137
18,18.9999,0.499962
19,19,0.588808
20,19,0.575846
21,19,0.569386
22,19,0.553568
23,19,0.54585
24,19,0.569215
25,19,0.609703
26,19,0.622331
27,19,0.628601
28,19,0.643359
29,19,0.560958
30,18.9999,0.467212
31,18.9999,0.509551
32,19,0.589676
33,19,0.54204
34,19,0.536518
35,19,0.545655
36,19,0.559621
37,19,0.547831
38,18.9999,0.553639
39,19,0.540295
40,19,0.553149
41,19,0.537453
42,19,0.536553
43,19,0.574869
44,19,0.537035
45,19,0.536287
46,19,0.540331
47,19,0.567028
48,19,0.564735
49,19,0.625457
50,19.0001,0.767938
51,19.0002,0.841787
52,19.0002,0.838908
53,19.0002,0.830901
54,19.0001,0.744489
55,19.0001,0.737105
56,19.0001,0.73885
57,19.0002,0.776623
58,19.0001,0.757298
59,19.0001,0.748619
60,19.0001,0.741599
61,19.0001,0.750233
62,19.0001,0.74632
63,19.0001,0.758801
64,19.0001,0.758175
65,19.0001,0.758249
66,19.0001,0.736891
67,19.0001,0.751319
68,19.0001,0.748536
69,19.0001,0.753041
70,19.0001,0.760328
71,19.0001,0.76728
72,19.0001,0.739463
73,19.0001,0.751615
74,19.0002,0.840163
75,19.0002,0.840777
76,19.0002,0.855815
77,19.0002,0.853497
78,19.0001,0.749122
79,19.0001,0.743054
80,19.0001,0.756172
81,19.0001,0.74587
82,19.0002,0.768023
83,19.0001,0.759311
84,19.0001,0.743993
85,19.0001,0.741861
86,19.0001,0.759078
87,19.0001,0.746342
88,19.0001,0.77424
89,19.0001,0.774451
90,19.0001,0.770441
91,19.0001,0.774692
92,19.0001,0.798533
93,19.0002,0.795546
94,19.0002,0.774504
95,19.0002,0.774478
96,19.0002,0.769318
97,19.0002,0.774885
98,19.0002,0.849553
99,19.0002,0.858279
100,19.0002,0.867745
101,19.0002,0.860655
102,19.0001,0.779823
103,19.0002,0.774221
104,19.0001,0.775224
105,19.0002,0.77533
106,19.0001,0.773454
107,19.0001,0.77573
108,19.0001,0.77612
109,19.0001,0.774926
110,19.0001,0.774433
111,19.0001,0.775197
112,19.0001,0.776226
113,19.0001,0.694157
114,19,0.580267
115,19,0.52629
116,19,0.508468
117,19,0.47331
118,18.9999,0.471123
119,18.9999,0.468738
120,18.9999,0.471432
121,18.9999,0.482888
122,19,0.549708
123,19.0001,0.6692
124,19.0001,0.726696
125,19.0001,0.700778
126,19.0001,0.634438
127,19,0.611195
128,19,0.604815
129,19,0.57086
130,19,0.587137
131,19,0.5786
132,18.9999,0.528999
133,19,0.51916
134,19,0.525984
135,19,0.530161
136,19,0.515603
137,19,0.527541
138,19,0.516353
139,19,0.519885
140,19,0.530619
141,19,0.517695
142,18.9999,0.530874
143,19,0.568066
144,18.9999,0.569774
145,19,0.573459
146,19,0.687026
147,19.0001,0.729032
148,19.0001,0.71249
149,19.0001,0.71578
150,19,0.713691
151,19,0.64917
152,19,0.627999
153,19,0.613642
154,19,0.627924
155,19,0.615666
156,19.0001,0.613788
157,19,0.614366
158,19.0001,0.611794
159,19.0001,0.615309
160,19,0.609242
161,19,0.601105
162,19,0.599064
163,19,0.608691
164,19.0001,0.602437
165,19.0001,0.597116
166,19,0.588168
167,19,0.594734
168,19,0.602037
169,19,0.591827
170,19.0001,0.593205
171,19.0001,0.653857
172,19.0001,0.664692
173,19.0001,0.667399
174,19.0001,0.674251
175,19.0001,0.650148
176,19,0.590013
177,19,0.587558
178,19,0.588878
179,19,0.585624
180,19,0.585672
181,19,0.590231
182,18.9999,0.586932
183,19,0.583781
184,18.9999,0.583933
185,19,0.584037
186,19,0.58291
187,19,0.588429
188,19,0.585666
189,19,0.586382
190,19,0.583943
191,19,0.584724
192,19.0001,0.608012
193,19,0.626555
194,19,0.585233
195,19,0.600328
196,19,0.661546
197,19,0.664516
198,19,0.672371
199,19,0.665896
200,19,0.606627
201,19,0.584939
202,19,0.585655
203,19,0.583921
204,18.9999,0.583617
205,19,0.585155
206,19,0.585234
207,18.9999,0.586571
208,19,0.580306
209,19,0.582164
210,19,0.583945
211,18.9999,0.586007
212,19,0.585612
213,19,0.584503
214,19,0.58394
215,19,0.583815
216,19,0.58244
217,19,0.587324
218,19,0.587384
219,19,0.584093
220,19,0.645591
221,19,0.663675
222,19.0001,0.670442
223,19.0001,0.667547
224,19.0001,0.639716
225,19,0.584265
226,19,0.58327
227,19,0.583034
228,19,0.590181
229,19,0.589062
230,19,0.583938
231,19,0.583991
232,19,0.581981
233,19,0.583152
234,19,0.582006
235,18.9999,0.586417
236,19,0.582177
237,19,0.583499
238,19,0.584656
239,19,0.581637
240,19,0.582647
241,19,0.585982
242,19,0.583994
243,19,0.60807
244,18.9999,0.609269
245,19,0.659234
246,19,0.663654
247,19,0.669682
248,19,0.663499
249,18.9999,0.597525
250,18.9999,0.583489
251,18.9999,0.584046
252,19,0.581935
253,18.9999,0.589044
254,19,0.583952
255,19,0.581715
256,18.9999,0.58287
257,19,0.582225
258,19,0.587945
259,18.9999,0.581939
260,19,0.58828
261,19,0.584551
262,19,0.58323
263,19,0.584961
264,19,0.583415
265,19,0.582288
266,19,0.582272
267,19,0.581363
268,19,0.586094
269,19,0.654845
270,19.0001,0.661132
271,19,0.667646
272,19,0.655779
273,19.0001,0.63353
274,19,0.58534
275,19,0.583045
276,19,0.582548
277,19,0.583416
