N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 7"

Sample,"Volt avg 1","Curr avg 1"
0,18.9995,0.419358
1,18.9993,0.411091
2,18.9995,0.453769
3,18.9994,0.477359
4,18.9995,0.544515
5,18.9995,0.549913
6,18.9995,0.55285
7,18.9995,0.512773
8,18.9995,0.507287
9,18.9995,0.577831
10,18.9996,0.602288
11,18.9995,0.571544
12,18.9996,0.553215
13,18.9996,0.563003
14,18.9996,0.560767
15,18.9995,0.550651
16,18.9995,0.55358
17,18.9995,0.555298
18,18.9995,0.543036
19,18.9995,0.47258
20,18.9995,0.476191
21,18.9995,0.552451
22,18.9995,0.558356
23,18.9995,0.565647
24,18.9995,0.560376
25,18.9995,0.555034
26,18.9996,0.558545
27,18.9995,0.582876
28,18.9996,0.635822
29,18.9995,0.629296
30,18.9996,0.635086
31,18.9996,0.625241
32,18.9995,0.550573
33,18.9995,0.538567
34,18.9995,0.533837
35,18.9995,0.550341
36,18.9995,0.545398
37,18.9995,0.590921
38,18.9996,0.721938
39,18.9997,0.767584
40,18.9997,0.67958
41,18.9996,0.627653
42,18.9996,0.617642
43,18.9996,0.599316
44,18.9996,0.567725
45,18.9996,0.562591
46,18.9996,0.581341
47,18.9996,0.565381
48,18.9995,0.558248
49,18.9996,0.563389
50,18.9995,0.563469
51,18.9996,0.55914
52,18.9995,0.638726
53,18.9996,0.643779
54,18.9996,0.637399
55,18.9996,0.629318
56,18.9996,0.574576
57,18.9995,0.558422
58,18.9995,0.557961
59,18.9995,0.557412
60,18.9996,0.579103
61,18.9995,0.55903
62,18.9995,0.567225
63,18.9996,0.647811
64,18.9996,0.666137
65,18.9996,0.667277
66,18.9996,0.667183
67,18.9996,0.669786
68,18.9996,0.672947
69,18.9996,0.669557
70,18.9996,0.670648
71,18.9996,0.667789
72,18.9996,0.664572
73,18.9996,0.66637
74,18.9996,0.664689
75,18.9996,0.666547
76,18.9996,0.749693
77,18.9996,0.766113
78,18.9996,0.748728
79,18.9996,0.740773
80,18.9996,0.7355
81,18.9996,0.661837
82,18.9996,0.66837
83,18.9995,0.666501
84,18.9995,0.663848
85,18.9996,0.666478
86,18.9996,0.671878
87,18.9996,0.673478
88,18.9996,0.667482
89,18.9996,0.667112
90,18.9996,0.665356
91,18.9996,0.668415
92,18.9996,0.67031
93,18.9996,0.663077
94,18.9996,0.66511
95,18.9996,0.680247
96,18.9996,0.675172
97,18.9996,0.6736
98,18.9996,0.669756
99,18.9996,0.667298
100,18.9996,0.675017
101,18.9997,0.771392
102,18.9997,0.778219
103,18.9997,0.764867
104,18.9997,0.767615
105,18.9996,0.679375
106,18.9996,0.664297
107,18.9996,0.675622
108,18.9996,0.667871
109,18.9996,0.670253
110,18.9997,0.710569
111,18.9996,0.666731
112,18.9996,0.670222
113,18.9996,0.665775
114,18.9996,0.66714
115,18.9996,0.666963
116,18.9996,0.667961
117,18.9996,0.666936
118,18.9996,0.667967
119,18.9996,0.668973
120,18.9996,0.668017
121,18.9996,0.66523
122,18.9996,0.671806
123,18.9996,0.664999
124,18.9995,0.667602
125,18.9996,0.715509
126,18.9996,0.634946
127,18.9996,0.619483
128,18.9996,0.621908
129,18.9996,0.62528
130,18.9995,0.475757
131,18.9995,0.473294
132,18.9994,0.472513
133,18.9994,0.468237
134,18.9994,0.475023
135,18.9994,0.466781
136,18.9994,0.467743
137,18.9994,0.389894
138,18.9994,0.462608
139,18.9994,0.420199
140,18.9994,0.420181
141,18.9994,0.419893
142,18.9994,0.419925
143,18.9994,0.407694
144,18.9995,0.47111
145,18.9994,0.419999
146,18.9994,0.420088
147,18.9994,0.424706
148,18.9995,0.421308
149,18.9994,0.408951
