N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 5"

Sample,"Volt avg 1","Curr avg 1"
0,18.9994,0.367744
1,18.9995,0.421271
2,18.9995,0.469783
3,18.9994,0.418099
4,18.9995,0.418069
5,18.9995,0.449761
6,18.9995,0.546053
7,18.9995,0.52501
8,18.9996,0.515226
9,18.9996,0.49654
10,18.9994,0.370075
11,18.9994,0.367545
12,18.9994,0.36797
13,18.9995,0.367258
14,18.9994,0.367289
15,18.9994,0.36886
16,18.9994,0.367254
17,18.9994,0.372717
18,18.9994,0.367169
19,18.9994,0.367161
20,18.9994,0.368864
21,18.9994,0.371346
22,18.9994,0.367873
23,18.9995,0.367298
24,18.9995,0.367153
25,18.9994,0.368602
26,18.9994,0.367205
27,18.9995,0.439059
28,18.9996,0.626834
29,18.9996,0.570745
30,18.9996,0.64221
31,18.9996,0.643776
32,18.9996,0.643196
33,18.9996,0.623028
34,18.9996,0.575875
35,18.9996,0.562344
36,18.9996,0.567988
37,18.9996,0.568307
38,18.9996,0.579252
39,18.9995,0.551345
40,18.9996,0.589678
41,18.9996,0.575001
42,18.9995,0.566535
43,18.9996,0.564709
44,18.9996,0.564167
45,18.9996,0.544349
46,18.9996,0.583544
47,18.9996,0.564288
48,18.9996,0.556226
49,18.9996,0.547347
50,18.9996,0.538638
51,18.9995,0.576932
52,18.9995,0.534392
53,18.9995,0.525238
54,18.9995,0.599097
55,18.9995,0.603913
56,18.9996,0.605767
57,18.9996,0.598607
58,18.9996,0.60542
59,18.9996,0.528407
60,18.9996,0.534749
61,18.9995,0.525458
62,18.9996,0.525332
63,18.9996,0.521739
64,18.9996,0.540536
65,18.9996,0.530875
66,18.9995,0.525679
67,18.9996,0.525951
68,18.9996,0.524605
69,18.9996,0.544185
70,18.9996,0.538561
71,18.9996,0.528094
72,18.9995,0.53206
73,18.9995,0.530298
74,18.9995,0.529669
75,18.9996,0.512446
76,18.9996,0.542527
77,18.9995,0.529809
78,18.9996,0.53854
79,18.9996,0.592798
80,18.9996,0.556522
81,18.9996,0.557592
82,18.9996,0.552495
83,18.9995,0.448408
84,18.9995,0.418327
85,18.9995,0.41965
86,18.9996,0.418297
87,18.9995,0.384065
88,18.9996,0.467398
89,18.9996,0.418453
90,18.9996,0.437475
91,18.9996,0.418591
92,18.9995,0.418353
93,18.9995,0.396522
94,18.9996,0.475825
95,18.9995,0.42032
96,18.9995,0.418183
97,18.9995,0.418123
98,18.9995,0.422912
99,18.9995,0.399831
