N6705A exported datalog

"Sample interval: 0.100004"
"Trigger sample: 5"

Sample,"Volt avg 1","Curr avg 1"
0,18.9994,0.367769
1,18.9994,0.368886
2,18.9994,0.368309
3,18.9994,0.367875
4,18.9995,0.437776
5,18.9995,0.511143
6,18.9995,0.52108
7,18.9995,0.517612
8,18.9995,0.440334
9,18.9994,0.375488
10,18.9994,0.375282
11,18.9994,0.376572
12,18.9994,0.373787
13,18.9994,0.373078
14,18.9994,0.373007
15,18.9994,0.372988
16,18.9994,0.374141
17,18.9994,0.372991
18,18.9994,0.373108
19,18.9995,0.375561
20,18.9994,0.367894
21,18.9994,0.368306
22,18.9995,0.485633
23,18.9996,0.609336
24,18.9995,0.555327
25,18.9995,0.553726
26,18.9996,0.564199
27,18.9996,0.577932
28,18.9995,0.585427
29,18.9996,0.605774
30,18.9996,0.606951
31,18.9996,0.610048
32,18.9996,0.614985
33,18.9995,0.567556
34,18.9995,0.575612
35,18.9996,0.572092
36,18.9996,0.560416
37,18.9996,0.594735
38,18.9995,0.529093
39,18.9995,0.515177
40,18.9995,0.517893
41,18.9996,0.525087
42,18.9995,0.516269
43,18.9995,0.514607
44,18.9996,0.537465
45,18.9997,0.694923
46,18.9996,0.626907
47,18.9996,0.55982
48,18.9996,0.546502
49,18.9996,0.555047
50,18.9996,0.532075
51,18.9995,0.522715
52,18.9996,0.535953
53,18.9997,0.596152
54,18.9996,0.587429
55,18.9996,0.575911
56,18.9997,0.591434
57,18.9996,0.515649
58,18.9996,0.500433
59,18.9995,0.503102
60,18.9995,0.511797
61,18.9996,0.514142
62,18.9996,0.513647
63,18.9996,0.512994
64,18.9996,0.499077
65,18.9996,0.487358
66,18.9996,0.421618
67,18.9995,0.423053
68,18.9996,0.42008
69,18.9995,0.419139
70,18.9995,0.403971
71,18.9995,0.369259
72,18.9995,0.368547
73,18.9995,0.368042
74,18.9995,0.367995
75,18.9995,0.368054
76,18.9995,0.368923
77,18.9995,0.46938
78,18.9995,0.505292
79,18.9996,0.521467
80,18.9995,0.515395
81,18.9995,0.422292
82,18.9995,0.479109
83,18.9995,0.466024
84,18.9995,0.430883
85,18.9995,0.430751
86,18.9995,0.4319
87,18.9995,0.430712
88,18.9996,0.400644
89,18.9995,0.379456
90,18.9994,0.379403
91,18.9994,0.380308
92,18.9995,0.380727
93,18.9995,0.367984
94,18.9995,0.367897
95,18.9995,0.367879
96,18.9995,0.369171
97,18.9994,0.371978
98,18.9995,0.368948
99,18.9995,0.374738
